question,context,response
Store lai kasari phone garna milxa?,"Hamro store ko name [RST Fashion] ho, hamro store Chitwan ma xa, Narayangarh ma. Hamro contact number 056-123456 ho.",Hamro contact number 056-123456 ho.
Store ko phone number k xa?,"Hamro store ko name [UVW Electronics] ho, hamro store Dharan ma xa, Bhanu Chowk ma. Hamro contact number 025-654321 ho.",Hamro contact number 025-654321 ho.
Store lai call garna ko contact k ho?,"Hamro store ko name [HIJ Grocery] ho, hamro store Butwal ma xa, Traffic Chowk ma. Hamro contact number 071-123789 ho.",Hamro contact number 071-123789 ho.
Store ko phone garna ko number k ho?,"Hamro store ko name [KLM Furniture] ho, hamro store Hetauda ma xa, Main Road ma. Hamro contact number 057-987123 ho.",Hamro contact number 057-987123 ho.
Store lai sampark garna ko number k xa?,"Hamro store ko name [NOP Bakery] ho, hamro store Dhangadhi ma xa, Ghodaghodi Chowk ma. Hamro contact number 091-456123 ho.",Hamro contact number 091-456123 ho.
Store ko contact info k xa?,"Hamro store ko name [QRS Tech] ho, hamro store Itahari ma xa, BP Chowk ma. Hamro contact number 025-123789 ho.",Hamro contact number 025-123789 ho.
Store lai phone garna ko details k xa?,"Hamro store ko name [TUV Mart] ho, hamro store Nepalgunj ma xa, Birendra Chowk ma. Hamro contact number 081-456789 ho.",Hamro contact number 081-456789 ho.
Store ko call garna ko number k ho?,"Hamro store ko name [WXY Shop] ho, hamro store Dhankuta ma xa, Bazaar area ma. Hamro contact number 026-987654 ho.",Hamro contact number 026-987654 ho.
Store ko phone number kati ho?,"Hamro store ko name [ZAB Outlet] ho, hamro store Janakpur ma xa, Ramananda Chowk ma. Hamro contact number 041-123456 ho.",Hamro contact number 041-123456 ho.
Store lai kasari call garna sakinxa?,"Hamro store ko name [CDE Superstore] ho, hamro store Birgunj ma xa, Ghantaghar ma. Hamro contact number 051-654321 ho.",Hamro contact number 051-654321 ho.
Store ko contact k ho?,"Hamro store ko name [XYZ Store] ho, hamro store Kathmandu ma xa, Putalisadak ma. Hamro contact number 01-1234567 ho.",Hamro contact number 01-1234567 ho.
Store lai phone garna ko number k xa?,"Hamro store ko name [ABC Mart] ho, hamro store Pokhara ma xa, Lakeside ma. Hamro contact number 061-987654 ho.",Hamro contact number 061-987654 ho.
Store ko phone number k ho?,"Hamro store ko name [PQR Shop] ho, hamro store Biratnagar ma xa, Roadway Chowk ma. Hamro contact number 021-456789 ho.",Hamro contact number 021-456789 ho.
Store lai kasari call garna milxa?,"Hamro store ko name [MNO Outlet] ho, hamro store Lalitpur ma xa, Jawalakhel ma. Hamro contact number 01-7654321 ho.",Hamro contact number 01-7654321 ho.
Store ko phone garna ko number k xa?,"Hamro store ko name [EFG Supermarket] ho, hamro store Bhaktapur ma xa, Durbar Square najik. Hamro contact number 01-2345678 ho.",Hamro contact number 01-2345678 ho.
Store ko contact details k xa?,"Hamro store ko name [RST Fashion] ho, hamro store Chitwan ma xa, Narayangarh ma. Hamro contact number 056-123456 ho.",Hamro contact number 056-123456 ho.
Store lai call garna ko number k ho?,"Hamro store ko name [UVW Electronics] ho, hamro store Dharan ma xa, Bhanu Chowk ma. Hamro contact number 025-654321 ho.",Hamro contact number 025-654321 ho.
Store ko phone number kati ho?,"Hamro store ko name [HIJ Grocery] ho, hamro store Butwal ma xa, Traffic Chowk ma. Hamro contact number 071-123789 ho.",Hamro contact number 071-123789 ho.
Store lai kasari phone garna sakinxa?,"Hamro store ko name [KLM Furniture] ho, hamro store Hetauda ma xa, Main Road ma. Hamro contact number 057-987123 ho.",Hamro contact number 057-987123 ho.
Store ko contact info k xa?,"Hamro store ko name [NOP Bakery] ho, hamro store Dhangadhi ma xa, Ghodaghodi Chowk ma. Hamro contact number 091-456123 ho.",Hamro contact number 091-456123 ho.
Store ko phone garna ko details k xa?,"Hamro store ko name [QRS Tech] ho, hamro store Itahari ma xa, BP Chowk ma. Hamro contact number 025-123789 ho.",Hamro contact number 025-123789 ho.
Store lai call garna ko contact k ho?,"Hamro store ko name [TUV Mart] ho, hamro store Nepalgunj ma xa, Birendra Chowk ma. Hamro contact number 081-456789 ho.",Hamro contact number 081-456789 ho.
Store ko phone number k xa?,"Hamro store ko name [WXY Shop] ho, hamro store Dhankuta ma xa, Bazaar area ma. Hamro contact number 026-987654 ho.",Hamro contact number 026-987654 ho.
Store lai kasari sampark garna milxa?,"Hamro store ko name [ZAB Outlet] ho, hamro store Janakpur ma xa, Ramananda Chowk ma. Hamro contact number 041-123456 ho.",Hamro contact number 041-123456 ho.
Store ko contact number k ho?,"Hamro store ko name [CDE Superstore] ho, hamro store Birgunj ma xa, Ghantaghar ma. Hamro contact number 051-654321 ho.",Hamro contact number 051-654321 ho.
Store ko phone garna ko number k ho?,"Hamro store ko name [FGH Mart] ho, hamro store Dhading ma xa, Dhading Besi ma. Hamro contact number 010-123456 ho.",Hamro contact number 010-123456 ho.
Store lai call garna ko number k xa?,"Hamro store ko name [IJK Store] ho, hamro store Kavre ma xa, Banepa ma. Hamro contact number 011-987654 ho.",Hamro contact number 011-987654 ho.
Store ko contact k xa?,"Hamro store ko name [LMN Shop] ho, hamro store Sindhuli ma xa, Kamalamai ma. Hamro contact number 047-123789 ho.",Hamro contact number 047-123789 ho.
Store ko phone number k ho?,"Hamro store ko name [OPQ Mart] ho, hamro store Gorkha ma xa, Prithvi Chowk ma. Hamro contact number 064-456123 ho.",Hamro contact number 064-456123 ho.
Store lai kasari phone garna milxa?,"Hamro store ko name [RST Store] ho, hamro store Nuwakot ma xa, Bidur ma. Hamro contact number 010-654789 ho.",Hamro contact number 010-654789 ho.
Store ko contact number k xa?,"Hamro store ko name [UVW Mart] ho, hamro store Syangja ma xa, Waling ma. Hamro contact number 063-123456 ho.",Hamro contact number 063-123456 ho.
Store ko contact number k ho?,"Hamro store ko name [Green Valley Mart] ho, hamro store Kathmandu ma xa, New Road ma. Hamro contact number 01-1122334 ho.",Hamro contact number 01-1122334 ho.
Store lai kasari call garna milxa?,"Hamro store ko name [Blue Sky Shop] ho, hamro store Pokhara ma xa, Lakeside ma. Hamro contact number 061-9988776 ho.",Hamro contact number 061-9988776 ho.
Store ko phone number k ho?,"Hamro store ko name [Golden Leaf Store] ho, hamro store Biratnagar ma xa, Roadway Chowk ma. Hamro contact number 021-3344556 ho.",Hamro contact number 021-3344556 ho.
Store lai phone garna ko number k xa?,"Hamro store ko name [Sunrise Mart] ho, hamro store Lalitpur ma xa, Jawalakhel ma. Hamro contact number 01-5566778 ho.",Hamro contact number 01-5566778 ho.
Store ko contact details k xa?,"Hamro store ko name [Mountain View Shop] ho, hamro store Bhaktapur ma xa, Durbar Square najik. Hamro contact number 01-7788990 ho.",Hamro contact number 01-7788990 ho.
Store lai kasari phone garna milxa?,"Hamro store ko name [River Side Store] ho, hamro store Chitwan ma xa, Narayangarh ma. Hamro contact number 056-1122334 ho.",Hamro contact number 056-1122334 ho.
Store ko phone number k xa?,"Hamro store ko name [Evergreen Mart] ho, hamro store Dharan ma xa, Bhanu Chowk ma. Hamro contact number 025-4455667 ho.",Hamro contact number 025-4455667 ho.
Store lai call garna ko number k ho?,"Hamro store ko name [Happy Day Shop] ho, hamro store Butwal ma xa, Traffic Chowk ma. Hamro contact number 071-3344556 ho.",Hamro contact number 071-3344556 ho.
Store ko phone garna ko number k xa?,"Hamro store ko name [City Light Store] ho, hamro store Hetauda ma xa, Main Road ma. Hamro contact number 057-5566778 ho.",Hamro contact number 057-5566778 ho.
Store lai sampark garna ko number k xa?,"Hamro store ko name [Fresh Mart] ho, hamro store Dhangadhi ma xa, Ghodaghodi Chowk ma. Hamro contact number 091-7788990 ho.",Hamro contact number 091-7788990 ho.
Store ko contact info k xa?,"Hamro store ko name [Dreamland Shop] ho, hamro store Itahari ma xa, BP Chowk ma. Hamro contact number 025-1122334 ho.",Hamro contact number 025-1122334 ho.
Store ko phone garna ko details k xa?,"Hamro store ko name [Star Mart] ho, hamro store Nepalgunj ma xa, Birendra Chowk ma. Hamro contact number 081-9988776 ho.",Hamro contact number 081-9988776 ho.
Store ko call garna ko number k ho?,"Hamro store ko name [Ocean View Store] ho, hamro store Dhankuta ma xa, Bazaar area ma. Hamro contact number 026-3344556 ho.",Hamro contact number 026-3344556 ho.
Store ko phone number kati ho?,"Hamro store ko name [Green Hills Mart] ho, hamro store Janakpur ma xa, Ramananda Chowk ma. Hamro contact number 041-5566778 ho.",Hamro contact number 041-5566778 ho.
Store lai kasari call garna sakinxa?,"Hamro store ko name [Bright Star Shop] ho, hamro store Birgunj ma xa, Ghantaghar ma. Hamro contact number 051-7788990 ho.",Hamro contact number 051-7788990 ho.
Store ko phone garna ko number k ho?,"Hamro store ko name [Sunny Side Mart] ho, hamro store Dhading ma xa, Dhading Besi ma. Hamro contact number 010-1122334 ho.",Hamro contact number 010-1122334 ho.
Store lai call garna ko number k xa?,"Hamro store ko name [Blue Moon Store] ho, hamro store Kavre ma xa, Banepa ma. Hamro contact number 011-9988776 ho.",Hamro contact number 011-9988776 ho.
Store ko contact k xa?,"Hamro store ko name [Silver Leaf Shop] ho, hamro store Sindhuli ma xa, Kamalamai ma. Hamro contact number 047-3344556 ho.",Hamro contact number 047-3344556 ho.
Store ko phone number k ho?,"Hamro store ko name [Golden Peak Mart] ho, hamro store Gorkha ma xa, Prithvi Chowk ma. Hamro contact number 064-5566778 ho.",Hamro contact number 064-5566778 ho.
Store lai kasari phone garna milxa?,"Hamro store ko name [Happy Valley Store] ho, hamro store Nuwakot ma xa, Bidur ma. Hamro contact number 010-7788990 ho.",Hamro contact number 010-7788990 ho.
Store ko contact number k xa?,"Hamro store ko name [Sunset Mart] ho, hamro store Syangja ma xa, Waling ma. Hamro contact number 063-1122334 ho.",Hamro contact number 063-1122334 ho.
Store ko contact number k ho?,"Hamro store ko name [Green Valley Mart] ho, hamro store Kathmandu ma xa, New Road ma. Hamro contact number 01-1122334 ho ra email contact@greenvalley.com ho.",Hamro contact number 01-1122334 ho.
Store ko email k ho?,"Hamro store ko name [Blue Sky Shop] ho, hamro store Pokhara ma xa, Lakeside ma. Hamro contact number 061-9988776 ho ra email info@bluesky.com ho.",Hamro email info@bluesky.com ho.
Store ko phone number ra email k ho?,"Hamro store ko name [Golden Leaf Store] ho, hamro store Biratnagar ma xa, Roadway Chowk ma. Hamro contact number 021-3344556 ho ra email support@goldenleaf.com ho.",Hamro contact number 021-3344556 ho ra email support@goldenleaf.com ho.
Store lai email kasari garna milxa?,"Hamro store ko name [Sunrise Mart] ho, hamro store Lalitpur ma xa, Jawalakhel ma. Hamro contact number 01-5566778 ho ra email contact@sunrise.com ho.",Hamro email contact@sunrise.com ho.
Store ko contact details k xa?,"Hamro store ko name [Mountain View Shop] ho, hamro store Bhaktapur ma xa, Durbar Square najik. Hamro contact number 01-7788990 ho ra email info@mountainview.com ho.",Hamro contact number 01-7788990 ho ra email info@mountainview.com ho.
Store ko email address k ho?,"Hamro store ko name [River Side Store] ho, hamro store Chitwan ma xa, Narayangarh ma. Hamro contact number 056-1122334 ho ra email support@riverside.com ho.",Hamro email support@riverside.com ho.
Store ko phone number k xa?,"Hamro store ko name [Evergreen Mart] ho, hamro store Dharan ma xa, Bhanu Chowk ma. Hamro contact number 025-4455667 ho ra email contact@evergreen.com ho.",Hamro contact number 025-4455667 ho.
Store lai email garna ko address k ho?,"Hamro store ko name [Happy Day Shop] ho, hamro store Butwal ma xa, Traffic Chowk ma. Hamro contact number 071-3344556 ho ra email info@happyday.com ho.",Hamro email info@happyday.com ho.
Store ko phone ra email k ho?,"Hamro store ko name [City Light Store] ho, hamro store Hetauda ma xa, Main Road ma. Hamro contact number 057-5566778 ho ra email support@citylight.com ho.",Hamro contact number 057-5566778 ho ra email support@citylight.com ho.
Store ko email k xa?,"Hamro store ko name [Fresh Mart] ho, hamro store Dhangadhi ma xa, Ghodaghodi Chowk ma. Hamro contact number 091-7788990 ho ra email contact@freshmart.com ho.",Hamro email contact@freshmart.com ho.
Store ko contact number ra email k ho?,"Hamro store ko name [Dreamland Shop] ho, hamro store Itahari ma xa, BP Chowk ma. Hamro contact number 025-1122334 ho ra email info@dreamland.com ho.",Hamro contact number 025-1122334 ho ra email info@dreamland.com ho.
Store ko email kasari pathaune?,"Hamro store ko name [Star Mart] ho, hamro store Nepalgunj ma xa, Birendra Chowk ma. Hamro contact number 081-9988776 ho ra email support@starmart.com ho.",Hamro email support@starmart.com ho.
Store ko phone number k ho?,"Hamro store ko name [Ocean View Store] ho, hamro store Dhankuta ma xa, Bazaar area ma. Hamro contact number 026-3344556 ho ra email contact@oceanview.com ho.",Hamro contact number 026-3344556 ho.
Store ko email address k xa?,"Hamro store ko name [Green Hills Mart] ho, hamro store Janakpur ma xa, Ramananda Chowk ma. Hamro contact number 041-5566778 ho ra email info@greenhills.com ho.",Hamro email info@greenhills.com ho.
Store ko contact details k xa?,"Hamro store ko name [Bright Star Shop] ho, hamro store Birgunj ma xa, Ghantaghar ma. Hamro contact number 051-7788990 ho ra email support@brightstar.com ho.",Hamro contact number 051-7788990 ho ra email support@brightstar.com ho.
Store ko email k ho?,"Hamro store ko name [Sunny Side Mart] ho, hamro store Dhading ma xa, Dhading Besi ma. Hamro contact number 010-1122334 ho ra email contact@sunnyside.com ho.",Hamro email contact@sunnyside.com ho.
Store ko phone number ra email k xa?,"Hamro store ko name [Blue Moon Store] ho, hamro store Kavre ma xa, Banepa ma. Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.",Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.
Store ko email kasari garna milxa?,"Hamro store ko name [Silver Leaf Shop] ho, hamro store Sindhuli ma xa, Kamalamai ma. Hamro contact number 047-3344556 ho ra email support@silverleaf.com ho.",Hamro email support@silverleaf.com ho.
Store ko contact number k ho?,"Hamro store ko name [Golden Peak Mart] ho, hamro store Gorkha ma xa, Prithvi Chowk ma. Hamro contact number 064-5566778 ho ra email contact@goldenpeak.com ho.",Hamro contact number 064-5566778 ho.
Store ko email k xa?,"Hamro store ko name [Happy Valley Store] ho, hamro store Nuwakot ma xa, Bidur ma. Hamro contact number 010-7788990 ho ra email info@happyvalley.com ho.",Hamro email info@happyvalley.com ho.
Store ko phone ra email k ho?,"Hamro store ko name [Sunset Mart] ho, hamro store Syangja ma xa, Waling ma. Hamro contact number 063-1122334 ho ra email support@sunset.com ho.",Hamro contact number 063-1122334 ho ra email support@sunset.com ho.
Store ko contact number k ho?,"Hamro store ko name [Green Valley Mart] ho, hamro store Kathmandu ma xa, New Road ma. Hamro contact number 01-1122334 ho ra email contact@greenvalley.com ho.",Hamro contact number 01-1122334 ho.
Store ko email address k ho?,"Hamro store ko name [Blue Sky Shop] ho, hamro store Pokhara ma xa, Lakeside ma. Hamro contact number 061-9988776 ho ra email info@bluesky.com ho.",Hamro email info@bluesky.com ho.
Store ko phone ra email k ho?,"Hamro store ko name [Golden Leaf Store] ho, hamro store Biratnagar ma xa, Roadway Chowk ma. Hamro contact number 021-3344556 ho ra email support@goldenleaf.com ho.",Hamro contact number 021-3344556 ho ra email support@goldenleaf.com ho.
Store lai email kasari pathaune?,"Hamro store ko name [Sunrise Mart] ho, hamro store Lalitpur ma xa, Jawalakhel ma. Hamro contact number 01-5566778 ho ra email contact@sunrise.com ho.",Hamro email contact@sunrise.com ho.
Store ko contact details k xa?,"Hamro store ko name [Mountain View Shop] ho, hamro store Bhaktapur ma xa, Durbar Square najik. Hamro contact number 01-7788990 ho ra email info@mountainview.com ho.",Hamro contact number 01-7788990 ho ra email info@mountainview.com ho.
Store ko email k xa?,"Hamro store ko name [River Side Store] ho, hamro store Chitwan ma xa, Narayangarh ma. Hamro contact number 056-1122334 ho ra email support@riverside.com ho.",Hamro email support@riverside.com ho.
Store ko phone number k xa?,"Hamro store ko name [Evergreen Mart] ho, hamro store Dharan ma xa, Bhanu Chowk ma. Hamro contact number 025-4455667 ho ra email contact@evergreen.com ho.",Hamro contact number 025-4455667 ho.
Store lai email garna ko address k ho?,"Hamro store ko name [Happy Day Shop] ho, hamro store Butwal ma xa, Traffic Chowk ma. Hamro contact number 071-3344556 ho ra email info@happyday.com ho.",Hamro email info@happyday.com ho.
Store ko phone ra email k ho?,"Hamro store ko name [City Light Store] ho, hamro store Hetauda ma xa, Main Road ma. Hamro contact number 057-5566778 ho ra email support@citylight.com ho.",Hamro contact number 057-5566778 ho ra email support@citylight.com ho.
Store ko email k ho?,"Hamro store ko name [Fresh Mart] ho, hamro store Dhangadhi ma xa, Ghodaghodi Chowk ma. Hamro contact number 091-7788990 ho ra email contact@freshmart.com ho.",Hamro email contact@freshmart.com ho.
Store ko contact number ra email k ho?,"Hamro store ko name [Dreamland Shop] ho, hamro store Itahari ma xa, BP Chowk ma. Hamro contact number 025-1122334 ho ra email info@dreamland.com ho.",Hamro contact number 025-1122334 ho ra email info@dreamland.com ho.
Store ko email kasari pathaune?,"Hamro store ko name [Star Mart] ho, hamro store Nepalgunj ma xa, Birendra Chowk ma. Hamro contact number 081-9988776 ho ra email support@starmart.com ho.",Hamro email support@starmart.com ho.
Store ko phone number k ho?,"Hamro store ko name [Ocean View Store] ho, hamro store Dhankuta ma xa, Bazaar area ma. Hamro contact number 026-3344556 ho ra email contact@oceanview.com ho.",Hamro contact number 026-3344556 ho.
Store ko email address k xa?,"Hamro store ko name [Green Hills Mart] ho, hamro store Janakpur ma xa, Ramananda Chowk ma. Hamro contact number 041-5566778 ho ra email info@greenhills.com ho.",Hamro email info@greenhills.com ho.
Store ko contact details k xa?,"Hamro store ko name [Bright Star Shop] ho, hamro store Birgunj ma xa, Ghantaghar ma. Hamro contact number 051-7788990 ho ra email support@brightstar.com ho.",Hamro contact number 051-7788990 ho ra email support@brightstar.com ho.
Store ko email k ho?,"Hamro store ko name [Sunny Side Mart] ho, hamro store Dhading ma xa, Dhading Besi ma. Hamro contact number 010-1122334 ho ra email contact@sunnyside.com ho.",Hamro email contact@sunnyside.com ho.
Store ko phone number ra email k xa?,"Hamro store ko name [Blue Moon Store] ho, hamro store Kavre ma xa, Banepa ma. Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.",Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.
Store ko email kasari garna milxa?,"Hamro store ko name [Silver Leaf Shop] ho, hamro store Sindhuli ma xa, Kamalamai ma. Hamro contact number 047-3344556 ho ra email support@silverleaf.com ho.",Hamro email support@silverleaf.com ho.
Store ko contact number k ho?,"Hamro store ko name [Golden Peak Mart] ho, hamro store Gorkha ma xa, Prithvi Chowk ma. Hamro contact number 064-5566778 ho ra email contact@goldenpeak.com ho.",Hamro contact number 064-5566778 ho.
Store ko email k xa?,"Hamro store ko name [Happy Valley Store] ho, hamro store Nuwakot ma xa, Bidur ma. Hamro contact number 010-7788990 ho ra email info@happyvalley.com ho.",Hamro email info@happyvalley.com ho.
Store ko phone ra email k ho?,"Hamro store ko name [Sunset Mart] ho, hamro store Syangja ma xa, Waling ma. Hamro contact number 063-1122334 ho ra email support@sunset.com ho.",Hamro contact number 063-1122334 ho ra email support@sunset.com ho.
Store ko contact number k ho?,"Hamro store ko name [Pine Tree Mart] ho, hamro store Dharan ma xa, Bhanu Chowk ma. Hamro contact number 025-1234567 ho ra email info@pinemart.com ho.",Hamro contact number 025-1234567 ho.
Store ko email address k ho?,"Hamro store ko name [Himalayan Bazaar] ho, hamro store Pokhara ma xa, Lakeside ma. Hamro contact number 061-9876543 ho ra email support@himalayanbazaar.com ho.",Hamro email support@himalayanbazaar.com ho.
Store ko phone ra email k ho?,"Hamro store ko name [Valley Grocers] ho, hamro store Biratnagar ma xa, Roadway Chowk ma. Hamro contact number 021-4567890 ho ra email contact@valleygrocers.com ho.",Hamro contact number 021-4567890 ho ra email contact@valleygrocers.com ho.
Store lai email kasari pathaune?,"Hamro store ko name [Everest Superstore] ho, hamro store Lalitpur ma xa, Jawalakhel ma. Hamro contact number 01-7654321 ho ra email info@everestsuperstore.com ho.",Hamro email info@everestsuperstore.com ho.
Store ko contact details k xa?,"Hamro store ko name [Nepal Mart] ho, hamro store Bhaktapur ma xa, Durbar Square najik. Hamro contact number 01-2345678 ho ra email support@nepalmart.com ho.",Hamro contact number 01-2345678 ho ra email support@nepalmart.com ho.
Store ko email k xa?,"Hamro store ko name [Annapurna Shop] ho, hamro store Chitwan ma xa, Narayangarh ma. Hamro contact number 056-1234567 ho ra email contact@annapurnashop.com ho.",Hamro email contact@annapurnashop.com ho.
Store ko phone number k xa?,"Hamro store ko name [Gurkha Store] ho, hamro store Dharan ma xa, Bhanu Chowk ma. Hamro contact number 025-9876543 ho ra email info@gurkhastore.com ho.",Hamro contact number 025-9876543 ho.
Store lai email garna ko address k ho?,"Hamro store ko name [Sagarmatha Mart] ho, hamro store Butwal ma xa, Traffic Chowk ma. Hamro contact number 071-1234567 ho ra email support@sagarmathamart.com ho.",Hamro email support@sagarmathamart.com ho.
Store ko phone ra email k ho?,"Hamro store ko name [Lumbini Shop] ho, hamro store Hetauda ma xa, Main Road ma. Hamro contact number 057-9876543 ho ra email contact@lumbinishop.com ho.",Hamro contact number 057-9876543 ho ra email contact@lumbinishop.com ho.
Yo Samsung Galaxy S23 ko price kati ho?,"Product: Samsung Galaxy S23, Price: Rs. 1,15,000","Yo Samsung Galaxy S23 ko price Rs. 1,15,000 ho."
Dell Inspiron 15 ko price batauna saknuhuncha?,"Product: Dell Inspiron 15, Price: Rs. 85,000","Dell Inspiron 15 ko price Rs. 85,000 ho."
Nike Air Max jutta ko dam kati ho?,"Product: Nike Air Max Jutta, Price: Rs. 12,000","Nike Air Max jutta ko dam Rs. 12,000 ho."
Levi's 501 jeans ko price k ho?,"Product: Levi's 501 Jeans, Price: Rs. 3,500","Levi's 501 jeans ko price Rs. 3,500 ho."
Sony Bravia TV ko price kati cha?,"Product: Sony Bravia TV, Price: Rs. 75,000","Sony Bravia TV ko price Rs. 75,000 cha."
Apple AirPods Pro ko price k ho?,"Product: Apple AirPods Pro, Price: Rs. 28,000","Apple AirPods Pro ko price Rs. 28,000 ho."
Puma running shoes ko dam batauna saknuhuncha?,"Product: Puma Running Shoes, Price: Rs. 6,500","Puma running shoes ko dam Rs. 6,500 ho."
Yo HP Pavilion laptop ko price kati ho?,"Product: HP Pavilion Laptop, Price: Rs. 92,000","Yo HP Pavilion laptop ko price Rs. 92,000 ho."
Samsung refrigerator ko price kasto cha?,"Product: Samsung Refrigerator, Price: Rs. 55,000","Samsung refrigerator ko price Rs. 55,000 cha."
Adidas backpack ko price kati parcha?,"Product: Adidas Backpack, Price: Rs. 3,000","Adidas backpack ko price Rs. 3,000 parcha."
Samsung Galaxy S23 ko price kati ho?,"Category: Mobile Phone, Brand: Samsung, Model: Galaxy S23, Description: Latest flagship smartphone with 256GB storage and 8GB RAM, Price: Rs. 1,15,000","Samsung Galaxy S23 ko price Rs. 1,15,000 ho. Yo phone 256GB storage ra 8GB RAM ko sath aauchha."
Dell Inspiron 15 ko price batauna saknuhuncha?,"Category: Laptop, Brand: Dell, Model: Inspiron 15, Description: 15.6-inch display, 16GB RAM, 512GB SSD, 11th Gen Intel Core i7, Price: Rs. 85,000","Dell Inspiron 15 ko price Rs. 85,000 ho. Isma 15.6-inch ko display ra 11th Gen Intel Core i7 processor cha."
Nike Air Max jutta ko dam kati ho?,"Category: Footwear, Brand: Nike, Model: Air Max, Description: Comfortable running shoes, available in multiple colors, Price: Rs. 12,000","Nike Air Max jutta ko dam Rs. 12,000 ho. Yo jutta comfortable running shoes ho ra dherai rangma upalabdha cha."
Levi's 501 jeans ko price k ho?,"Category: Clothing, Brand: Levi's, Model: 501 Jeans, Description: Classic straight-fit jeans, available in various sizes, Price: Rs. 3,500","Levi's 501 jeans ko price Rs. 3,500 ho. Yo classic straight-fit design ho ra sabai sizes ma available cha."
Sony Bravia TV ko price kati cha?,"Category: Television, Brand: Sony, Model: Bravia, Description: 4K Ultra HD Smart TV with HDR support, 55-inch display, Price: Rs. 75,000","Sony Bravia TV ko price Rs. 75,000 cha. Yo 55-inch ko 4K Ultra HD Smart TV ho jasle HDR support garcha."
Apple AirPods Pro ko price k ho?,"Category: Accessories, Brand: Apple, Model: AirPods Pro, Description: Noise-cancelling wireless earbuds with spatial audio support, Price: Rs. 28,000","Apple AirPods Pro ko price Rs. 28,000 ho. Isma noise-cancelling ra spatial audio support pani cha."
Puma running shoes ko dam batauna saknuhuncha?,"Category: Footwear, Brand: Puma, Model: Running Shoes, Description: Lightweight and durable shoes for daily use, Price: Rs. 6,500","Puma running shoes ko dam Rs. 6,500 ho. Yo jutta lightweight ra daily use ka lagi perfect cha."
Yo HP Pavilion laptop ko price kati ho?,"Category: Laptop, Brand: HP, Model: Pavilion, Description: 14-inch FHD display, 16GB RAM, 1TB SSD, AMD Ryzen 5 processor, Price: Rs. 92,000","Yo HP Pavilion laptop ko price Rs. 92,000 ho. Isma 14-inch FHD display ra AMD Ryzen 5 processor cha."
Samsung refrigerator ko price kasto cha?,"Category: Home Appliance, Brand: Samsung, Model: Refrigerator, Description: Double-door fridge with 345L capacity, frost-free technology, Price: Rs. 55,000","Samsung refrigerator ko price Rs. 55,000 cha. Isma 345L capacity ra frost-free technology cha."
Adidas backpack ko price kati parcha?,"Category: Bags, Brand: Adidas, Model: Backpack, Description: Stylish and spacious backpack with laptop compartment, Price: Rs. 3,000","Adidas backpack ko price Rs. 3,000 parcha. Yo backpack stylish ho ra laptop compartment pani cha."
iPhone 14 Pro Max ko price kati ho?,"Category: Smartphone, Brand: Apple, Model: iPhone 14 Pro Max, Description: 6.7-inch Super Retina XDR display, 128GB storage, A16 Bionic chip, Price: Rs. 1,60,000","iPhone 14 Pro Max ko price Rs. 1,60,000 ho. Yo 6.7-inch Super Retina XDR display ra A16 Bionic chip sanga aauchha."
Lenovo ThinkPad X1 Carbon ko price batauna saknuhuncha?,"Category: Laptop, Brand: Lenovo, Model: ThinkPad X1 Carbon, Description: Ultra-lightweight business laptop, 16GB RAM, 512GB SSD, Intel i7 processor, Price: Rs. 1,45,000","Lenovo ThinkPad X1 Carbon ko price Rs. 1,45,000 ho. Yo ultra-lightweight business laptop ho."
Canon EOS R5 ko price k ho?,"Category: Camera, Brand: Canon, Model: EOS R5, Description: Mirrorless camera with 45MP sensor, 8K video recording, Price: Rs. 3,20,000","Canon EOS R5 ko price Rs. 3,20,000 ho. Yo camera 45MP sensor ra 8K video recording feature sanga aauchha."
LG washing machine ko dam k cha?,"Category: Home Appliance, Brand: LG, Model: Washing Machine T7281NDDLG, Description: 6.2kg fully automatic top load washing machine, Price: Rs. 25,000","LG washing machine ko dam Rs. 25,000 cha. Yo 6.2kg fully automatic top load model ho."
Reebok Zig Kinetica sneakers ko price kati ho?,"Category: Footwear, Brand: Reebok, Model: Zig Kinetica, Description: Performance sneakers with responsive cushioning, Price: Rs. 7,500","Reebok Zig Kinetica sneakers ko price Rs. 7,500 ho. Yo sneakers responsive cushioning sanga aauchha."
Philips Air Fryer ko dam kasto cha?,"Category: Kitchen Appliance, Brand: Philips, Model: Air Fryer HD9200, Description: Compact air fryer with rapid air technology, 4.1L capacity, Price: Rs. 9,000","Philips Air Fryer ko dam Rs. 9,000 cha. Yo rapid air technology ra 4.1L capacity ko sath aauchha."
Fossil Gen 6 smartwatch ko price kati parcha?,"Category: Watch, Brand: Fossil, Model: Gen 6 Smartwatch, Description: Stainless steel design, AMOLED display, heart rate monitoring, Price: Rs. 25,000","Fossil Gen 6 smartwatch ko price Rs. 25,000 parcha. Isma AMOLED display ra heart rate monitoring cha."
