,category,system,instruction,context,question,response
1285,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The new mobile app makes it easy to track your daily expenses and manage your budget.,Naya mobile app le daily kharcha ra budget track garna ekdam sajilo banaucha.
1286,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Pokhara ma ke ke ghumna sakincha?,"Pokhara ma Fewa taal, Sarangkot, Mahendra guffa, ra Devi's Fall ghumna sakincha."
1287,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,"Laptop ko charger plug garera charge hudaina, ke garne?","Charger ko wire check garne, socket sahi cha ki chaina herne ani last ma technician lai dekhaune."
1288,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali kahani ko ek line ko udaharan dinus.,"Ek patakko kura ho, ek kisan ko khet ma ek bagh aayo."
1289,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The young entrepreneur started an e-commerce website, selling handmade products to customers worldwide.","Naya entrepreneur le e-commerce website suru garera, handmade products worldwide customers lai bechne."
1290,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"bholi ko lunch plan ta ekdam exciting cha. maile ta new restaurant explore garne, ani unko special dishes taste garna ko lagi ready chu.",Tomorrow's lunch plan is so exciting. Iâ€™m going to explore a new restaurant and am ready to taste their special dishes.
1291,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Human body ma sabai bhanda thulo ang k ho?,Skin.
1292,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Online shopping kasari garne?,"Shopping app kholera desired item search garne, cart ma halera address ra payment confirm garne."
1293,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Tapai ko smartphone ma photo kasari click garna saknuhuncha?,"Camera app kholnus, photo button thichnus."
1294,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The kids chased each other around the garden, laughing loudly.","Ketaketi haru bagan ma ek arka ko pachi lagcha, jor le haascha."
1295,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile aaja office ma dherai productive feel gare.,I felt very productive at the office today.
1296,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The group of friends sat under the starry sky, talking about their dreams and plans for the future.","Saathi haru ko samuh taara bhareko asman muni basera, afno sapana ra bhabisya ko plan ko kura garchan."
1297,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,World ma sabai bhanda garo climbing mountain kun ho?,K2 (Mount Godwin-Austen).
1298,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Bulk Order Returns: For returning bulk orders, visit the 'Returns' section in your account. Select the items to be returned and provide the reason. Our team will contact you within 2 business days for pickup arrangements. Refunds for bulk returns are processed only after quality inspection, which may take up to 7 days.",Kasari bulk order return request garna sakincha?,Bulk order return request garna 'Returns' section ma janus ra return request submit garnus. Refund quality inspection pachi huncha.
1299,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Product: Sony WH-1000XM4, Price: Rs. 39,999, Features: Noise Cancelling, Bluetooth, 30hrs Battery Life.",Sony WH-1000XM4 ko battery life kati ho?,Sony WH-1000XM4 ko battery life 30 ghanta ho.
1300,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"aaja maile pura afternoon mero nani sanga park ma bitae. hamro favorite park ma aba ekdam ramailo playground banaisakeko rahecha, ani nani le chai pura slide ani swing ma khelera pura energy spend garera ramailo garna payo. ma chai usko khushi herera ekdam relax feel gare ani sochi ki aba aba hamro weekends ma park ko visit regular banau chu.","Today, I spent the entire afternoon with my child at the park. Our favorite park now has a new and fun playground, and my child enjoyed playing on the slides and swings, spending all their energy having fun. Watching them happy made me feel so relaxed, and I decided to make park visits a regular part of our weekends."
1301,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The government has launched a new initiative to provide free education to underprivileged children across the country.,Sarkar le pura deshma garib balbalika haru lai nishulk shiksha din baru yojana suru gareko cha.
1302,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile uslai aru ek chance dina soche.,I thought of giving him another chance.
1303,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma ek prasiddha dance form ko naam dinus.,Maruni Dance.
1304,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma rural health services kasari improve garna sakinchha?,Rural health services improve garna mobile clinics ani telemedicine services suru garna sakcha. Qualified doctors lai rural postings ko lagi incentives provide garne. Local health workers ko training enhance garera community-level healthcare ensure garne. Basic medical supplies ani emergency facilities lai rural health posts ma prioritize garne. Awareness campaigns le safe practices ani preventive healthcare promote garna sakcha.
1305,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Timi ko ghar ko bare ma bataunu.,"Mero ghar Kathmandu ma cha. Yo ek sano, ramro ghar ho ra yahaa mero pariwaar bascha."
1306,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Morning routine productive kasari banaune?,"Morning routine productive banauna exercise garne, healthy breakfast rakhne ani day ko task list prepare garne parcha."
1307,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Platform ma electronic gadgets jasari wireless earbuds, smartwatches, ra portable chargers available cha. Delivery time 5-9 din samma ho, ra replacement sirf defective items ko lagi 7 din samma applicable cha. Sabai gadgets ko technical specifications product page ma mentioned huncha, jaha battery life, compatibility, ra warranty ko details view garna milcha. Refund process ko lagi product ko photo upload mandatory huncha.",Gadget ko compatibility details kasari thaha pauna sakchhu?,Gadget ko compatibility details product page ma 'Technical Specifications' section ma mentioned huncha.
1308,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,mero dost haru sangai aba summer ma short trip garne idea discuss gariyo. location ko ni finalize garna baki cha.,I discussed the idea of a short trip with my friends for summer. We still need to finalize the location.
1309,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Drinking habit control kasari garne?,"Drinking habit control garna trigger avoid garne, alternative activities ma dhyan dinu ani professional help lina parcha."
1310,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma online learning platform haru ko naam ke ke ho?,"ePathshala, Midas eLearning, Google Classroom, ani YouTube."
1311,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Timi afno balpan ma sikeko ek mahatopurna paath bare lekh.,"Mero balpan ma sikeko sabai bhanda mahatopurna paath ho 'mehnat bina safalta sambhavnai hudaina'. Ma sano bela math ko exam ma fail bhayepachi, mero buwa le mehnat garna siknu bhannu bhayeko thiyo. Tes bela dekhi ma harek kaam ma mehnat garna thale."
1312,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,mero nani le aaja school ma ekdam ramailo kura gareko thiyo. tesle chai aba usko class ma hune drawing competition ko barema excited bhaera sabai details share garna thalyo. yo competition usle pehla choti participate garna lageko ho bhanera usle jhan excitement sanga aafno plan share garna thalyo. sabai crayons ra colors organize garera raat samma practice garna ni shuru gareko cha. aba hami sabai le usko effort ko support garna uslai encouragement diyeko cha.,"My child shared something very exciting about school today. She was enthusiastically talking about the drawing competition thatâ€™s going to happen in her class. She is participating in such a competition for the first time and eagerly shared all her plans. She even started organizing all her crayons and colors and practiced until late at night. Now, the whole family is supporting her efforts by encouraging her."
1313,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Manche ko aankha le kati rang dekhna sakcha?,Karib 10 million colors.
1314,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Platform ma premium footwear jasari leather boots, running shoes, ra casual sneakers available cha. Delivery time 5-8 din samma cha, ra size exchange option unused items ko lagi 7 din bhitra applicable cha. Sabai footwear ko size guide product page ma available huncha, jaha measurements ra foot shape ko basis ma correct size choose garna milcha. Warranty defective items ko lagi 3 months samma applicable cha, ra invoice ko saath claim garnu parcha.",Correct size kasari choose garna sakchhu?,"Correct size choose garna product page ma available size guide follow garnu hos, jaha foot measurements ra shape ko basis ma details mentioned huncha."
1315,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Timi afno manparne gaana ko bare lekh.,"Mero manparne gaana 'Resham Firiri' ho, kina bhane yo gaana ma hami Nepali sanskritiko anubhav garna sakchhau ra sunera dherai mitha lagcha."
1316,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Narayan Gopal, Nepali sangeet ko 'Swar Samrat' ho, jasko geet haru ajha pani manchheharu ko man ma bascha. Unle 'Euta Manche Ko Maya' ra 'Yo Samjhine Man Cha' jasto prasiddha geet gae.",Narayan Gopal lai kehi geet ko naam dinus?,Narayan Gopal ka prasiddha geet haru 'Euta Manche Ko Maya' ra 'Yo Samjhine Man Cha' hun.
1317,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Chitwan ma ek din ek narile gaun ko khel ma hissa liyin. Tyo khel gaun ko parampara ra samuhik jeevan ko sundar udaharan baneko thiyo.,Narile Chitwan ma parampara ko khel ma hissa liin.
1318,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","sital, ramro, mitho, radio","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Radio gun hoina, aru tinwota gun hun."
1319,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,I need some water.,Malai kehi paani chahincha.
1320,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha safar marg haru ma Everest Base Camp Trek, Annapurna Circuit, Langtang Valley, ra Manaslu Circuit chha. Everest Base Camp Trek, jo duniya ko sabai bhanda uncha sthal ho, paryatak haru ko akarshan ko ek mahatvapurn sthal ho. Annapurna Circuit, jo prakritik ra safar ko anubhav ko ek adbhut mishran ho, Nepali Himalaya ko safar ma samarthan garincha. Langtang Valley trekking, Himalaya ko prakritik dhrishya ra Tibetan culture ko anubhav garne ek safar ho.",Nepal ko prasiddha safar marg haru kun kun chhan?,"Everest Base Camp Trek, Annapurna Circuit, Langtang Valley, ra Manaslu Circuit Nepal ko prasiddha safar marg haru ho. Har ek trek le paryatak haru ko safar ra adventure ko ek naya anubhav pradan garincha."
1321,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Basanta,Tapai ko manparcha season ke ho bhanera lekhidinus.,Mero manparcha season basanta ho.
1322,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Afno manparne jagga ghumeko experience lekh.,"Pokhara ghumeko experience ekdam dami thiyo. Taal barahi ma boat ride, Sarangkot ma surya udaya herna ani baato ma local khaja khana kasto ramailo lagyo vanera sabda ma bujhna garo cha."
1323,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",SD card install garne tarika.,Tapai kasari smartphone storage upgrade garna saknuhuncha?,"SD card smartphone ma insert garnus, storage settings ma gayera configure garnus."
1324,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Personal hygiene daily routine kasari banaucha?,"Hygiene routine banaucha daily brushing, proper handwashing ani clean clothes lagayera maintain garne parcha."
1325,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko sabai bhanda thulo rajdhani Kathmandu ho. Yo rastriya ra aarthik kendra ho, jaha sabai rajnaitik, aarthik, ra samajik gatividhi haru garincha.",Nepal ko sabai bhanda thulo rajdhani kaha ho?,Nepal ko sabai bhanda thulo rajdhani Kathmandu ho.
1326,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timi ko sangati ta dherai ramro cha.,Your company is really nice.
1327,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Hamro team ko performance ta excellent thiyo.,Our teamâ€™s performance was excellent.
1328,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Timro ghar ko roof ma paani le leakage bhayo bhane ke garne?,"Roof ma paani leakage bhayo bhane roof ko tiles check garne, temporary tarikale bucket rakhne ani roofer lai dekhaune."
1329,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Kripaya 5 ota Nepali phoolharu ko naam dinuhos.,"Gulab, Lali Gurans, Sayapatri, Kamal, Chameli."
1330,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Kripaya 2 + 3 ko uttar dinuhos.,5
1331,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",First-time voter ko lagi process.,Nepal ma voter ID kasari banaune?,"Election Commission office ma janus, required documents submit garnus, ani biometric verification garnus."
1332,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,I had the opportunity to attend a live performance of traditional Nepali music and dance last weekend.,Maile gaeko hapta ko antima paramparik Nepali sangit ra nritya ko pratyaksh pradarshan herne mauka paye.
1333,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Karma gare fal paaincha.,Yo sentence ko meaning explain garnus.,Yo sentence le dherai mehnat ra sadachari le saphalta paaincha bhancha.
1334,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Public transportation ma discount ko process.,Nepal ma student discount kasari apply garna sakincha?,"Student ID card dekhaunus, ani authorized rates ma ticket purchase garnus."
1335,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma 'Fitness' ko arth ke ho?,'Fitness' ko arth Nepali ma 'Sharirik Swastha' ho.
1336,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Ek khadkaune prasna garnuhos Nepali ma.,"Maile ghar jane bato birse, tapai sanga mapa cha?"
1337,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ko sabai bhanda thulo religious site ko naam ke ho?,Pashupatinath Mandir
1338,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"Aba chai thikai cha, tension kam cha.","Now itâ€™s fine, thereâ€™s less tension."
1339,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Order cancellation ko option payment confirmation ko agadi cha. Cancellation garepachi refund amount instantly wallet ma aauxa. Delivery partner real-time tracking ko feature dincha. Seasonal discounts sabai customers ko lagi available cha, ra free shipping sabai orders ma active cha.",Ke order cancel garepachi refund instantly huncha?,"Ho, order cancel garepachi refund instantly wallet ma aauxa."
1340,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Price Match Policy: If a customer finds the same product at a lower price on a competitor's platform within 24 hours of purchase, they can request a price match. To do so, email customer support with proof of the competitor's price (e.g., a screenshot or link). If approved, the difference will be refunded as store credit within 5 business days.",Kasari product price match request garna sakincha?,Product price match request garna competitor ko lower price ko proof email garnus. Approved bhae 5 business days vitra store credit ma refund huncha.
1341,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Hamro next step ma detailed execution plan develop garna parcha.,Our next step involves developing a detailed execution plan.
1342,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko rajdhani Kathmandu ho, jun 1,400 meters ko uchai ma pareko chha. Kathmandu Upatyaka UNESCO World Heritage Site ko rup ma famous chha, jaha 7 ota world heritage monuments chhan.",Kathmandu ma kati ota world heritage monuments chhan?,Kathmandu ma 7 ota world heritage monuments chhan.
1343,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Internet kaam gariraheko chaina.,Yo samasya ko samadhan suggest garnus.,Router restart garnus ra internet service provider sanga sampark garnus.
1344,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,"Hamro computer slow chha, kunai tips chha?","Computer fast garna unnecessary programs band garnus, disk cleanup garera RAM upgrade garnus."
1345,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Mithila art, Madhesh Pradesh ma sthit, prachin Nepali painting style ho, jun dharmik ra sanskritik kathaharulai rangin design ma prasthut garcha. Yo art bises garera Lumbini ra Janakpur ma dherai popular chha.",Mithila art Nepal ko kun kshetra ma popular chha?,"Mithila art Madhesh Pradesh, bises garera Lumbini ra Janakpur ma popular chha."
1346,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ko ek famous author ko naam dinus.,Laxmi Prasad Devkota.
1347,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The farmer's market was bustling with activity as vendors sold fresh fruits, vegetables, and homemade goods. Families walked through the stalls, sampling food and chatting with the friendly sellers while enjoying the vibrant atmosphere.","Kisan bajar chalchaldo thiyo jaba dokandar haru taja falful, tarkari ra ghar ko banaune saman bechda thiye. Parivaar haru stall ma hidera khana ko namuna khandai ra mitra dokandar haru sanga kura gardai ramailo mahol ko maja le raheko thiye."
1348,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Hamro shop ko location Chitwan ko Sauraha ma cha ra yo Sauraha vanda 5 minutes walk tadha xa. Yaha wildlife souvenirs ra safari related items haru milcha.,Hamro shop ko location kahaan cha?,Hamro shop ko location Chitwan ko Sauraha ma cha ra yo Sauraha vanda 5 minutes walk tadha xa.
1349,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"Standing on the edge of the cliff, I could see the vast ocean stretching out endlessly, its waves crashing against the rocks below and the salty breeze brushing against my face.","Chhuchuro ko kinar ma ubhiera, maile anant samundra laamo samma phailiraheko dekhe, isko tarang haru tala ko chattan ma thaado raha thaado hawa mero mukh ma lagiraheko thiyo."
1350,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,padhai ta aba thik cha?,Is your study going well now?
1351,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali prashiddha taal haru ma ke garna sakincha?,"Fewa Taal ma boat ride garna, Rara Taal ma paryatan garna, ra Tilicho Taal ko himal drishya herna sakincha."
1352,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The government has introduced a new policy to support small businesses and promote entrepreneurship in rural areas.,Sarkar le sanu byaapar haru lai samarthan ra gramin chetra ma udyamshilata badhauna naya niti prastut gareko cha.
1353,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Manche ko body ma sabai bhanda bada strong muscle kun ho?,Jaw muscle (Masseter).
1354,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,arko din plan banau hai,"Make plans for the next day, okay?"
1355,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timro presentation dherai clear ra concise thiyo.,Your presentation was very clear and concise.
1356,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The musician played his guitar in the park, drawing a crowd of people who enjoyed his music.","Musician le park ma guitar bajayo, ani dherai manche haru usko music herne aayo."
1357,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Mobile recharge kasari garne?,"Mobile recharge garna SIM ko USSD code dial garnus, jastai *123*PIN#. Ya online apps use garnus."
1358,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,yo semester ma ta chai new subject ekdam challenging thiyo. maile ta pura additional resources use garera concept clear garna try gare.,"This semester, the new subject was very challenging. I tried using additional resources to clear the concepts."
1359,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma 'Freelancing' ko arth ke ho?,'Freelancing' ko arth Nepali ma 'Swatantra Kaam Garna' ho.
1360,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The sprawling city came alive at night with shimmering lights that adorned the buildings, busy streets filled with vehicles, and people strolling leisurely along the sidewalks.","Bistarit sahar raat ma chamkile batti haru le jivit baneko, jasko bhawan haru sajhaera, bheer bhaireko galli haru gaadi haru le bharieko ra manche haru dhilo dhilo footpath ma hidiraheka thiye."
1361,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Thamel ma shopping garnu kasto huncha?,"Thamel ma shopping garna ramailo huncha. Tyo thauma handicrafts, kapada, ani souvenirs ka dherai options cha."
1362,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The cat slept peacefully near the fireplace.,Biralo sant bata fireplace najik suteko thiyo.
1363,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,yo book ko last chapter chai ekdam emotional thiyo. maile chai pura character journey ko experience ekdam deeply feel gare.,The last chapter of this book was so emotional. I deeply felt the experience of the entire character journey.
1364,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The students participated in an online competition, testing their knowledge in various subjects.","Students haru online competition ma bhag lagayo, alag-alag subject ma apno knowledge test garne."
1365,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Kathmandu ko Lalitpur ma ek organic food shop cha, jaha fresh vegetables ra organic products haru available cha. Yo shop ek residential area ma cha, ra yaha ko items haru health-conscious customers ko lagi perfect cha.",Kathmandu ko Lalitpur ma ko shop cha?,"Kathmandu ko Lalitpur ma ek organic food shop cha, jaha fresh vegetables ra organic products available cha."
1366,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Tyo kapada wash garna milcha ki dry clean matra?,"Kapada ko label herera tha huncha, washing instruction follow garnu parcha."
1367,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prakritik sthal ko prasiddhi Annapurna Conservation Area, Chitwan National Park, ra Rara Lake jasta sthal haru ma cha. Annapurna Conservation Area, jo Nepal ko sabai bhanda dherai diversed prakritik reserve ho, trekking, bird watching, ra wildlife safaris ko safar ko anubhav garincha. Chitwan National Park, jo wildlife ra jungle safari ko prasiddha sthal ho, rhino, tiger, ra anek wildlife species ko jeevan dekhne avasara dincha. Rara Lake, jo Nepal ko sabai bhanda thulo jheel ho, ko prakritik drishya ko safar garne kaam garincha.",Nepal ko prakritik sthal ko prasiddhi ke ke cha?,"Annapurna Conservation Area, Chitwan National Park, ra Rara Lake Nepal ko prakritik sthal ho, jaha prakritik safar, wildlife safaris ra trekking jasta anek prakritik anubhav haru milcha."
1368,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,15 ko 3 bata guna garne ho bhane kati milcha?,15 ko 3 bata guna garne ho bhane 45 milcha.
1369,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Mobile ma notifications control kasari garne?,Mobile ma notifications control garna settings ma gayera unnecessary apps ko notification off garna parcha.
1370,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Nepal Himalaya ko desh ho jasle tourist harulai akarshit garcha.,Ek word ma yo sentence ko summary dinus.,Tourist akarshit garne himalayan desh.
1371,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","kera, tama, golbhenda, paat","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Paat fal hoina, aru tinwota fal hun."
1372,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The college reunion was filled with laughter and memories as old friends caught up after years of being apart. They spent hours talking about their past, sharing stories about their current lives, and promising to meet again soon.","College ko punarmilan hasta ra samjhanale bharieko thiyo, purana saathi haru barsha haru pachhi bhetera khushi thiye. Uniharu le ghanta haru bitayera aphna purana kura katha gardai, aphno vartaman jeewan ko katha share gardai ra chadai bhetnu bacha garda thiye."
1373,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko chhavi ek anek jati ra dharmik samudaay ko ekata ra sanskritik virasat ko chhavi ho. Yaha ko paryatan, aarthik, ra samajik karyakram ko ek milan ho.",Nepal ko chhavi kasto cha?,Nepal ko chhavi ek anek jati ra dharmik samudaay ko ekata ho.
1374,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","kaapi, kalam, kitaab, jutta","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Jutta padhai ko samaan hoina, aru tinwota padhai ko samaan hun."
