category,context,question,response
alpaca,,Explain the significance of the Swayambhunath Stupa in Roman Nepali.,Swayambhunath Stupa Kathmandu ma chha ra yo Buddhist haruko lagi ek pavitra sthal ho. Yo stupa le shanti ra gyanka lagi pratiksha garchha. Yo UNESCO ko World Heritage Site ma parne chha ra Nepal ko sabai bhanda purano stupa ho.
alpaca,,Create a dialogue in Roman Nepali between a teacher and a student about homework.,"Shikshak: Ram, timile homework sakayo? / Ram: Hajur, maile sakaye. Tara euta prashna ma samasya aayo. / Shikshak: Kun prashna ho? Ma timilai sahayog garchhu."
alpaca,The sound of the waterfall is very soothing.,Translate the following English sentence into Roman Nepali.,Jharna ko awaz dherai shantidai chha.
alpaca,,Write a Roman Nepali sentence to describe the importance of teamwork.,Sahkarya le dherai kam sajilo banaunchha ra safalta pauna sahayog garchha.
alpaca,,Provide a Roman Nepali phrase to console someone who is sad.,"Nirash nabasa, sabai thik hunchha."
alpaca,The festival is celebrated with music and dance.,Translate the following English sentence into Roman Nepali.,Parva geet ra nach sanga manaune garchha.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali wedding.,"Nepali bihe ma janti niskine, tika lagaune, ra bihe ko jatra manaune chalan chha."
alpaca,"Dhilo bhayo, bhanda na bhulyo.",Explain the meaning of the following Roman Nepali proverb in English.,Better late than never.
alpaca,,Write a Roman Nepali sentence to describe a famous Nepali festival.,"Holi ma manche haru rang le khele, ra ek arka lai rang lagaune garchhan."
alpaca,Maile uslai samjhaeko thiye.,Translate the following Roman Nepali sentence into English.,I had explained it to him/her.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali art form.,"Thangka chitra Nepal ko ek paramparik kala ho, jasma Buddha ra aru dharmik chitra banaune garchha."
alpaca,,Provide a Roman Nepali phrase to express admiration.,Wah! Tapai dherai ramro kaam garnuhunchha.
alpaca,The children are playing in the field.,Translate the following English sentence into Roman Nepali.,Baccha haru maidan ma kheldai chhan.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali dish.,"Gundruk ra dhido Nepal ko ek paramparik khana ho, jasto ki pahadiya samudaya ma chalan chha."
alpaca,Usko man ma dukha chha.,Explain the meaning of the following Roman Nepali phrase in English.,There is sadness in his/her heart.
alpaca,,Write a Roman Nepali sentence to describe a famous Nepali personality.,Aarohan Gurukul ko Sandeep Lamichhane Nepal ka ek prasiddha cricket kheladi hun.
alpaca,Maile uslai samjhaeko thiye.,Translate the following Roman Nepali sentence into English.,I had explained it to him/her.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali musical instrument.,"Sarangi Nepal ko ek paramparik baja ho, jasma tantra prayog hunchha."
alpaca,,Provide a Roman Nepali phrase to express excitement.,Ma dherai utsahit chu!
alpaca,The temple is located on top of the hill.,Translate the following English sentence into Roman Nepali.,Mandir pahad ko mathi chha.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali festival food.,"Sel roti Tihar ra Dashain ma banine khana ho, jasto ki mithai."
alpaca,Usko aakha ma chamak thiyo.,Explain the meaning of the following Roman Nepali phrase in English.,There was a sparkle in his/her eyes.
alpaca,,Write a Roman Nepali sentence to describe a famous Nepali mountain.,Mount Everest Nepal ma chha ra yo duniya ko sabai bhanda ucha chha.
alpaca,Maile uslai samjhaeko thiye.,Translate the following Roman Nepali sentence into English.,I had explained it to him/her.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali craft.,"Dhaka topi Nepal ko paramparik shilpa ho, jasto ki Nepali manche haru le lagaune garchhan."
alpaca,,Provide a Roman Nepali phrase to express gratitude.,"Dhanyabaad, tapai ko sahayog lai."
alpaca,The festival is celebrated with great enthusiasm.,Translate the following English sentence into Roman Nepali.,Parva dherai utsah sanga manaune garchha.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali game.,"Dandi biyo Nepal ko ek paramparik khel ho, jasma danda ra biyo prayog hunchha."
alpaca,,Write a short Roman Nepali story about a farmer and his magical cow.,"Ek choti euta kisan ra unko jaadui gaai thiyo. Gaai le dudh dindaina, sona dinthyo. Kisan le tyo sona le afno garibi mitayo. Tara ek din gaai le sona dina chodiyo. Kisan le bujhyo ki dhan le matra sukha paudaina, mehanat ra santosh nai thulo chha."
alpaca,,Explain the significance of the Swayambhunath Stupa in Roman Nepali.,Swayambhunath Stupa Kathmandu ma chha ra yo Buddhist haruko lagi ek pavitra sthal ho. Yo stupa le shanti ra gyanka lagi pratiksha garchha. Yo UNESCO ko World Heritage Site ma parne chha ra Nepal ko sabai bhanda purano stupa ho.
alpaca,,Create a dialogue in Roman Nepali between a teacher and a student about homework.,"Shikshak: Ram, timile homework sakayo? / Ram: Hajur, maile sakaye. Tara euta prashna ma samasya aayo. / Shikshak: Kun prashna ho? Ma timilai sahayog garchhu."
alpaca,The sound of the waterfall is very soothing.,Translate the following English sentence into Roman Nepali.,Jharna ko awaz dherai shantidai chha.
alpaca,,Write a Roman Nepali sentence to describe the importance of teamwork.,Sahkarya le dherai kam sajilo banaunchha ra safalta pauna sahayog garchha.
alpaca,,Provide a Roman Nepali phrase to console someone who is sad.,"Nirash nabasa, sabai thik hunchha."
alpaca,The festival is celebrated with music and dance.,Translate the following English sentence into Roman Nepali.,Parva geet ra nach sanga manaune garchha.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali wedding.,"Nepali bihe ma janti niskine, tika lagaune, ra bihe ko jatra manaune chalan chha."
alpaca,"Dhilo bhayo, bhanda na bhulyo.",Explain the meaning of the following Roman Nepali proverb in English.,Better late than never.
alpaca,,Write a Roman Nepali sentence to describe a famous Nepali festival.,"Holi ma manche haru rang le khele, ra ek arka lai rang lagaune garchhan."
alpaca,Maile uslai samjhaeko thiye.,Translate the following Roman Nepali sentence into English.,I had explained it to him/her.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali art form.,"Thangka chitra Nepal ko ek paramparik kala ho, jasma Buddha ra aru dharmik chitra banaune garchha."
alpaca,,Provide a Roman Nepali phrase to express admiration.,Wah! Tapai dherai ramro kaam garnuhunchha.
alpaca,The children are playing in the field.,Translate the following English sentence into Roman Nepali.,Baccha haru maidan ma kheldai chhan.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali dish.,"Gundruk ra dhido Nepal ko ek paramparik khana ho, jasto ki pahadiya samudaya ma chalan chha."
alpaca,Usko man ma dukha chha.,Explain the meaning of the following Roman Nepali phrase in English.,There is sadness in his/her heart.
alpaca,,Write a Roman Nepali sentence to describe a famous Nepali personality.,Aarohan Gurukul ko Sandeep Lamichhane Nepal ka ek prasiddha cricket kheladi hun.
alpaca,Maile uslai samjhaeko thiye.,Translate the following Roman Nepali sentence into English.,I had explained it to him/her.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali musical instrument.,"Sarangi Nepal ko ek paramparik baja ho, jasma tantra prayog hunchha."
alpaca,,Provide a Roman Nepali phrase to express excitement.,Ma dherai utsahit chu!
alpaca,The temple is located on top of the hill.,Translate the following English sentence into Roman Nepali.,Mandir pahad ko mathi chha.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali festival food.,"Sel roti Tihar ra Dashain ma banine khana ho, jasto ki mithai."
alpaca,Usko aakha ma chamak thiyo.,Explain the meaning of the following Roman Nepali phrase in English.,There was a sparkle in his/her eyes.
alpaca,,Write a Roman Nepali sentence to describe a famous Nepali mountain.,Mount Everest Nepal ma chha ra yo duniya ko sabai bhanda ucha chha.
alpaca,Maile uslai samjhaeko thiye.,Translate the following Roman Nepali sentence into English.,I had explained it to him/her.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali craft.,"Dhaka topi Nepal ko paramparik shilpa ho, jasto ki Nepali manche haru le lagaune garchhan."
alpaca,,Provide a Roman Nepali phrase to express gratitude.,"Dhanyabaad, tapai ko sahayog lai."
alpaca,The festival is celebrated with great enthusiasm.,Translate the following English sentence into Roman Nepali.,Parva dherai utsah sanga manaune garchha.
alpaca,,Write a Roman Nepali sentence to describe a traditional Nepali game.,"Dandi biyo Nepal ko ek paramparik khel ho, jasma danda ra biyo prayog hunchha."
alpaca,,Nepali ma 'Kathmandu' ko barema 5 ota tathyaharoo lekha.,1. Kathmandu Nepal ko capital ho. 2. Yo city Himalaya ko foothills ma chha. 3. Kathmandu ma dherai historical temples chhan. 4. Yo city lai 'City of Temples' pani bhanincha. 5. Kathmandu valley UNESCO World Heritage Site ho.
alpaca,,Nepali ma 'Mount Everest' ko barema jankari deu.,"Mount Everest, Sagarmatha pani bhanincha, world ko highest mountain ho. Yo Nepal ra China ko border ma chha. Everest ko height 8,848.86 meters chha. Sir Edmund Hillary ra Tenzing Norgay Sherpa le 1953 ma first successful summit gareka thiye."
alpaca,,Nepali ma 'Dashain' festival ko barema 3 ota kura lekh.,"1. Dashain Nepal ko sabai bhanda important festival ho. 2. Yo festival 15 days samma manaincha. 3. Dashain ma family haru bhetghat garne, jamara ra tika lagaune, ra goat ko meat khane chalan chha."
alpaca,,Nepali ma 'Nepal ko population' ko barema jankari deu.,Nepal ko population approximately 30 million chha. Population growth rate 1.85% chha. Kathmandu valley ma dherai population chha. Nepal ma 125 jati ethnic groups chhan.
alpaca,,Nepali ma 'Nepali currency' ko barema lekha.,Nepal ko currency Nepalese Rupee (NPR) ho. 1 Rupee ma 100 paisa huncha. Nepal Rastra Bank le currency manage garcha. Nepali Rupee Indian Rupee sanga fixed exchange rate ma chha.
alpaca,,Nepali ma 'Nepal ko national bird' ko barema lekha.,Nepal ko national bird 'Himalayan Monal' ho. Yo bird colorful plumage ko huncha. Himalayan Monal lai 'Danphe' pani bhanincha. Yo bird high altitude area ma payincha.
alpaca,,Nepali ma 'Nepal ko national flower' ko barema lekha.,Nepal ko national flower 'Rhododendron' ho. Yo flower lai 'Lali Gurans' pani bhanincha. Rhododendron Himalaya region ma dherai payincha. Yo flower red color ko huncha.
alpaca,,Nepali ma 'Nepal ko national animal' ko barema lekha.,"Nepal ko national animal 'Cow' ho. Cow lai Hindu dharma ma sacred animal manaicha. Nepal ma cow ko hatya illegal ho. Cow ko milk, ghee, ra dung pani important chha."
alpaca,,Nepali ma 'Nepal ko national game' ko barema lekha.,Nepal ko national game 'Volleyball' ho. Volleyball Nepal ma dherai popular game ho. Nepal le international volleyball tournaments ma participate garcha. Volleyball Nepal ko rural areas ma pani khelincha.
alpaca,,Nepali ma 'Nepal ko national language' ko barema lekha.,Nepal ko national language 'Nepali' ho. Nepali language Indo-Aryan language family ma parcha. Nepal ma 123 jati languages chhan. Nepali language Devanagari script ma lekha huncha.
alpaca,,Nepali ma 'Nepal ko national flag' ko barema lekha.,"Nepal ko national flag world ko unique flag ho. Yo flag non-quadrilateral shape ko chha. Flag ma duita triangles chhan ra sun ra moon ko symbols chhan. Nepal ko flag red, blue, ra white color ko chha."
alpaca,,Nepali ma 'Nepal ko national anthem' ko barema lekha.,Nepal ko national anthem 'Sayaun Thunga Phool Ka' ho. Yo anthem 2007 ma adopt gariyo. Anthem ko lyrics Byakul Maila le lekheka hun. Anthem ko music Amber Gurung le compose gareka hun.
alpaca,,Nepali ma 'Nepal ko national emblem' ko barema lekha.,"Nepal ko national emblem ma Mount Everest, green hills, yellow color ko field, ra male ra female hands chhan. Emblem ma 'Janani Janmabhoomischa Swargadapi Gariyasi' lekheko chha. Yo emblem Nepal ko unity ra diversity ko pratik ho."
alpaca,,Nepali ma 'Nepal ko national calendar' ko barema lekha.,Nepal ko national calendar 'Bikram Sambat' ho. Bikram Sambat calendar 56.7 years ahead of Gregorian calendar chha. Yo calendar lunar-solar calendar ho. Nepal ma official documents ma Bikram Sambat use huncha.
alpaca,,Nepali ma 'Nepal ko national dress' ko barema lekha.,Nepal ko national dress 'Daura Suruwal' ra 'Gunyu Cholo' ho. Daura Suruwal male haru le lagaune traditional dress ho. Gunyu Cholo female haru le lagaune traditional dress ho. Yo dress Nepal ko culture ra tradition ko pratik ho.
alpaca,,Nepali ma 'Nepal ko national tree' ko barema lekha.,Nepal ko national tree 'Rhododendron' ho. Rhododendron lai 'Lali Gurans' pani bhanincha. Yo tree Nepal ko Himalaya region ma dherai payincha. Rhododendron ko flower red color ko huncha.
alpaca,,Nepali ma 'Nepal ko national river' ko barema lekha.,Nepal ko national river 'Gandaki' ho. Gandaki river Nepal ko central region ma chha. Yo river le Nepal ra India ko border bancha. Gandaki river ma dherai hydroelectric projects chhan.
alpaca,,Nepali ma 'Nepal ko national mountain' ko barema lekha.,"Nepal ko national mountain 'Mount Everest' ho. Mount Everest world ko highest mountain ho. Yo mountain Nepal ra China ko border ma chha. Mount Everest ko height 8,848.86 meters chha."
alpaca,,Nepali ma 'Nepal ko national park' ko barema lekha.,"Nepal ko national park 'Chitwan National Park' ho. Chitwan National Park Nepal ko Terai region ma chha. Yo park UNESCO World Heritage Site ho. Chitwan National Park ma one-horned rhinoceros, Bengal tiger, ra dherai wildlife chhan."
alpaca,,Nepali ma 'Nepal ko national museum' ko barema lekha.,"Nepal ko national museum 'National Museum of Nepal' ho. Yo museum Kathmandu ma chha. Museum ma Nepal ko history, culture, ra art ko collection chha. National Museum of Nepal 1928 ma establish gariyo."
alpaca,,"Yo paragraph lai summarize garera Roman Nepali ma lekha: 'Artificial Intelligence (AI) is transforming industries worldwide. From healthcare to finance, AI is being used to automate tasks, analyze data, and improve decision-making.'","Artificial Intelligence (AI) le worldwide industries lai transform gari rako chha. Healthcare dekhi finance samma, AI tasks automate garna, data analyze garna, ra decision-making improve garna use huncha."
alpaca,,Roman Nepali ma yo sentence lai English ma translate gara: 'Mero naam Ram ho ra ma Kathmandu ma baschhu.',"My name is Ram, and I live in Kathmandu."
alpaca,,Roman Nepali ma yo question ko answer deu: 'COVID-19 ko symptoms haru ke ke hun?',"COVID-19 ko symptoms haru ma fever, cough, fatigue, loss of taste or smell, ra difficulty breathing huna sakcha."
alpaca,,"Roman Nepali ma yo task complete gara: 'Mero schedule banauna help gara. Ma 9 AM bata 5 PM samma office ma hunchu, ra lunch break 1 PM bata 2 PM samma huncha.'","Schedule: 9 AM - Office start, 1 PM - Lunch break, 2 PM - Office resume, 5 PM - Office end."
alpaca,,"Roman Nepali ma yo paragraph lai short ma explain gara: 'Climate change is causing extreme weather events like floods, droughts, and heatwaves. This is affecting agriculture, water resources, and human health globally.'","Climate change le floods, droughts, ra heatwaves jasta extreme weather events badhai rako chha. Yo agriculture, water resources, ra human health lai globally affect gari rako chha."
alpaca,,Roman Nepali ma yo sentence lai polite banau: 'Malaai yo man pardaina.',"Maaf garnus, malaai yo thik lagdaina."
alpaca,,Roman Nepali ma yo question ko answer khoja: 'Nepal ko first president ko naam ke ho?',Nepal ko first president ko naam Dr. Ram Baran Yadav ho.
alpaca,,"Roman Nepali ma yo task complete gara: 'Mero shopping list banauna help gara. Ma rice, lentils, vegetables, ra fruits kinna chahanchhu.'","Shopping list: Rice, lentils, vegetables, fruits."
alpaca,,Roman Nepali ma yo sentence lai negative ma change gara: 'Usko exam ma ramro marks aayo.',Usko exam ma ramro marks aayena.
alpaca,,"Roman Nepali ma yo paragraph lai bullet points ma lekha: 'Nepal is famous for its natural beauty, including the Himalayas, rivers, and forests. It is also known for its rich culture and traditions, such as Dashain and Tihar festivals.'","- Nepal natural beauty ko lagi famous chha, jasma Himalayas, rivers, ra forests parchan. - Yo rich culture ra traditions ko lagi pani famous chha, jasma Dashain ra Tihar festivals parchan."
alpaca,,Roman Nepali ma yo question ko answer deu: 'What is the capital of France?',France ko capital Paris ho.
alpaca,,Roman Nepali ma yo sentence lai formal banau: 'Timro phone number deu na.',Kripaya tapai ko phone number dinus.
alpaca,,"Roman Nepali ma yo task complete gara: 'Mero email draft gara. Subject: Meeting Reminder. Body: Please remember, we have a meeting tomorrow at 10 AM.'","Subject: Meeting Reminder. Body: Kripaya samjhanus, hami sanga bholi 10 AM ma meeting chha."
alpaca,,"Roman Nepali ma yo paragraph lai simple ma lekha: 'The Internet has revolutionized the way we communicate, work, and access information. It has made the world more connected and accessible.'","Internet le hami kasari communicate garchau, work garchau, ra information access garchau tyo revolutionize gari sakeko chha. Yo le world lai more connected ra accessible banayo."
alpaca,,Roman Nepali ma yo question ko answer deu: 'What is the square root of 64?',64 ko square root 8 ho.
alpaca,,Roman Nepali ma yo sentence lai passive voice ma change gara: 'Ram le book padhyo.',Book Ram le padhiyo.
alpaca,,"Roman Nepali ma yo task complete gara: 'Mero daily routine describe gara. Ma 6 AM ma uthchu, 7 AM ma breakfast garchu, ra 8 AM ma office janchu.'","Daily routine: 6 AM - Uthne, 7 AM - Breakfast, 8 AM - Office janey."
alpaca,,"Roman Nepali ma yo paragraph lai 2 sentences ma summarize gara: 'The Earth is the third planet from the Sun. It is the only known planet to support life. Earth has a diverse environment, including oceans, mountains, and forests.'","Earth Sun bata third planet ho ra life support garna sakne ekmatra planet ho. Yo planet ma oceans, mountains, ra forests jasta diverse environment chha."
alpaca,,Roman Nepali ma yo question ko answer deu: 'What is the chemical formula for water?',Water ko chemical formula H2O ho.
alpaca,,Roman Nepali ma yo sentence lai future tense ma change gara: 'Ma school janchu.',Ma school janechhu.
alpaca,,"Yo paragraph ko main idea bata 2 ota key points identify gara: 'Global warming le dherai countries ko agriculture lai affect gari rako chha. Temperature badhda, crops ko growth ma problem aaucha ra water scarcity pani badhcha.'",1. Global warming le agriculture lai affect gari rako chha. 2. Temperature badhda crops ko growth ra water resources ma problem aaucha.
alpaca,,Mero friend lai birthday wish garne message lekha. Usko naam Sita ho.,Happy Birthday Sita! Tapaiko life hami sabaiko lagi inspiration ho. Aabaarko barsa dherai sukha ra safalta hos!
alpaca,,Yo sentence lai past tense ma change gara: 'Ma movie herna janchu.',Ma movie herna gaye.
alpaca,,Nepal ko tourism industry ko barema 3 ota interesting facts lekh.,1. Nepal ko tourism industry ko main attraction Himalaya ra trekking ho. 2. Nepal ma 10 ota UNESCO World Heritage Sites chhan. 3. Tourism le Nepal ko GDP ma dherai contribution garcha.
alpaca,,Yo question ko short ma answer deu: 'AI le future ma jobs lai kasari affect garcha?',"AI le dherai jobs automate garcha, tara naya job opportunities pani create garcha."
alpaca,,Mero daily diet plan banauna help gara. Ma vegetarian hu.,"Breakfast: Oats ra fruits. Lunch: Dal, bhat, tarkari, ra salad. Dinner: Roti, sabji, ra curd. Snacks: Nuts ra dry fruits."
alpaca,,Yo sentence lai polite form ma lekha: 'Malaai yo project complete garna garo bhairako chha.',"Maaf garnus, malaai yo project complete garna ali garo bhairako chha."
alpaca,,Yo paragraph lai 1 sentence ma summarize gara: 'Electric vehicles (EVs) are becoming popular due to their environmental benefits. They produce fewer emissions compared to traditional vehicles and help reduce air pollution.',Electric vehicles (EVs) environmental benefits ko karan le popular bhairako chha ra air pollution kam garcha.
alpaca,,Mero trip plan banauna help gara. Ma Pokhara 3 days ko lagi janchhu.,"Day 1: Fewa Lake visit, boat ride, ra Davis Falls herne. Day 2: Sarangkot sunrise view, World Peace Pagoda, ra local market ghumne. Day 3: Begnas Lake ra Mahendra Cave explore garne."
alpaca,,Yo sentence lai English ma translate gara: 'Mero ghar Kathmandu bata 10 km tada chha.',My house is 10 km away from Kathmandu.
alpaca,,Yo question ko answer khoja: 'Nepal ma kati ota provinces chhan?',Nepal ma 7 ota provinces chhan.
alpaca,,Mero weekly workout plan banauna help gara. Ma gym jana chahanchhu.,Monday: Cardio ra legs. Tuesday: Upper body strength. Wednesday: Rest day. Thursday: Cardio ra core. Friday: Full body workout. Saturday: Yoga ra stretching. Sunday: Rest day.
alpaca,,"Yo paragraph lai bullet points ma lekha: 'Nepal is a landlocked country in South Asia. It is known for its diverse culture, languages, and religions. The capital city is Kathmandu, and the official language is Nepali.'","- Nepal South Asia ma landlocked country ho. - Yo diverse culture, languages, ra religions ko lagi famous chha. - Capital city Kathmandu ho, ra official language Nepali ho."
alpaca,,Yo sentence lai negative ma change gara: 'Usko exam ma ramro marks aayo.',Usko exam ma ramro marks aayena.
alpaca,,Mero email draft gara. Subject: Leave Application. Body: Ma next week 3 days ko lagi leave ma janu parne bhaiyo. Kripaya approve garnuhos.,Subject: Leave Application. Body: Ma next week 3 days ko lagi leave ma janu parne bhaiyo. Kripaya approve garnuhos.
alpaca,,Yo question ko answer deu: 'What is the largest planet in our solar system?',Largest planet Jupiter ho.
alpaca,,Yo sentence lai future tense ma change gara: 'Ma college padhna janchu.',Ma college padhna janechhu.
alpaca,,"Mero monthly budget plan banauna help gara. Mero income Rs. 50,000 ho.","Rent: Rs. 15,000. Food: Rs. 10,000. Transportation: Rs. 5,000. Savings: Rs. 10,000. Entertainment: Rs. 5,000. Miscellaneous: Rs. 5,000."
alpaca,,"Yo paragraph lai simple ma explain gara: 'Blockchain technology is a decentralized system that records transactions securely. It is widely used in cryptocurrencies like Bitcoin and has applications in finance, healthcare, and supply chain.'","Blockchain technology ek decentralized system ho jasle transactions lai securely record garcha. Yo cryptocurrencies like Bitcoin ma use huncha ra finance, healthcare, ra supply chain ma pani applications chha."
alpaca,,Yo question ko answer deu: 'What is the chemical symbol for gold?',Gold ko chemical symbol Au ho.
alpaca,,Mero resume ko skills section lai improve gara. Ma software engineer hu.,"Skills: Programming languages (Python, Java, C++), Web Development (HTML, CSS, JavaScript), Database Management (SQL, MongoDB), Cloud Computing (AWS, Azure), Problem Solving, Team Collaboration."
alpaca,,Yo sentence lai interrogative ma change gara: 'Usko exam ma ramro marks aayo.',Usko exam ma ramro marks aayo ki aayena?
alpaca,,Mero daily routine ma meditation lai kasari include garne banauna help gara.,"Morning: 6 AM - uthne, 6:15 AM - 10 minutes meditation. Evening: 7 PM - 10 minutes meditation before dinner."
alpaca,,"Yo paragraph ko main idea bata 3 ota key points lekh: 'Renewable energy sources like solar, wind, and hydropower are becoming more popular because they are sustainable and environmentally friendly. They help reduce carbon emissions and dependence on fossil fuels.'",1. Renewable energy sources sustainable ra environmentally friendly chhan. 2. Yo carbon emissions kam garcha. 3. Fossil fuels ko dependence ghatcha.
alpaca,,Mero friend lai job interview ko lagi tips deu.,1. Company ko background research gara. 2. Common interview questions ko practice gara. 3. Professional dress code follow gara. 4. Confident ra polite hunu. 5. Questions sanga answer gara.
alpaca,,Yo sentence lai passive voice ma change gara: 'Ram le book padhyo.',Book Ram le padhiyo.
alpaca,,Mero weekend plan banauna help gara. Ma relax garna ra productive huna chahanchhu.,"Saturday: Morning - yoga ra breakfast, Afternoon - book padhne, Evening - movie herne. Sunday: Morning - hike garna, Afternoon - skill development (online course), Evening - plan next week ko lagi."
alpaca,,Yo question ko answer deu: 'What is the capital of Australia?',Australia ko capital Canberra ho.
alpaca,,Mero email draft gara. Subject: Project Update. Body: Project timeline ma kehi changes garna parne bhaiyo. Next meeting ma discuss garne.,Subject: Project Update. Body: Project timeline ma kehi changes garna parne bhaiyo. Next meeting ma discuss garne.
alpaca,,Yo sentence lai future tense ma change gara: 'Ma ghar ma movie herchu.',Ma ghar ma movie hernechhu.
alpaca,,"Mero monthly savings plan banauna help gara. Mero income Rs. 60,000 ho.","Rent: Rs. 20,000. Food: Rs. 15,000. Transportation: Rs. 5,000. Entertainment: Rs. 5,000. Savings: Rs. 15,000."
alpaca,,"Yo paragraph lai 1 sentence ma summarize gara: 'Social media has changed the way people communicate. It allows instant sharing of information and connects people globally, but it also has negative effects like cyberbullying and addiction.'","Social media le communication lai change garyo, globally connect garcha tara cyberbullying ra addiction jasta negative effects pani chha."
alpaca,,Mero travel packing list banauna help gara. Ma 5 days ko trip ma janchhu.,"Clothes: 5 shirts, 3 pants, socks, underwear. Toiletries: Toothbrush, toothpaste, shampoo, soap. Essentials: Passport, wallet, phone charger, first aid kit. Miscellaneous: Snacks, water bottle, book."
alpaca,,Yo question ko answer deu: 'What is the chemical formula for table salt?',Table salt ko chemical formula NaCl ho.
alpaca,,Mero daily water intake track garna help gara. Ma 2 liters water piuna chahanchhu.,Morning: 500 ml (after waking up). Mid-morning: 500 ml. Lunch: 500 ml. Evening: 500 ml. Total: 2 liters.
alpaca,,Yo sentence lai polite form ma lekha: 'Malaai yo kam garo lagyo.',"Maaf garnus, malaai yo kam ali garo lagyo."
alpaca,,Mero study schedule banauna help gara. Ma exam ko lagi padhna chahanchhu.,Morning: 7 AM - 9 AM (Math). Afternoon: 1 PM - 3 PM (Science). Evening: 6 PM - 8 PM (English). Night: 9 PM - 10 PM (Revision).
alpaca,,"Yo paragraph lai bullet points ma lekha: 'Artificial Intelligence (AI) is used in various fields like healthcare, finance, and education. It helps in diagnosing diseases, predicting market trends, and personalizing learning experiences.'","- AI healthcare, finance, ra education ma use huncha. - Yo diseases diagnose garna, market trends predict garna, ra learning experiences personalize garna help garcha."
alpaca,,Yo question ko answer deu: 'What is the largest ocean in the world?',Largest ocean Pacific Ocean ho.
alpaca,,Mero fitness goal achieve garna help gara. Ma weight loss garna chahanchhu.,"1. Daily 30 minutes cardio gara. 2. Healthy diet follow gara (more vegetables, less carbs). 3. Hydrated rahane (2 liters water daily). 4. Weekly progress track gara."
alpaca,,Mero startup idea ko elevator pitch banauna help gara. Idea chha: Online platform for local farmers to sell their products directly to customers.,Hamro platform le local farmers lai aafno products directly customers lai bechna sajilo bancha. Yo le middlemen lai hataera farmers lai better price dincha ra customers lai fresh products provide garcha.
alpaca,,Yo sentence lai poetic form ma lekha: 'Himalaya ko beauty nai alag chha.',"Himalaya ko sundarta, aakash chune jasto, dharti ra swarg ko milan ho."
alpaca,,Mero personal blog ko first post ko topic suggest gara. Ma travel ra photography ko barema lekhna chahanchhu.,Topic: 'Nepal ko Hidden Gems: Unexplored Places for Travel Lovers'.
alpaca,,"Yo paragraph lai storytelling style ma lekha: 'Ma bholi exam dinchu. Mero preparation ramro chha, tara ali nervous pani feel bhairako chha.'","Bholi mero exam chha. Dherai din dekhi padhirako chu, preparation pani ramro chha. Tara aaja rati ali nervous feel bhairako chhu. Ke hola bholi ko result?"
alpaca,,Mero YouTube channel ko intro script banauna help gara. Channel ko topic chha: Healthy Cooking.,"Namaste! Welcome to Healthy Cooking with [Your Name]. Aaja hamile banau healthy, tasty, ra easy-to-make recipes. Let’s make cooking fun and healthy together!"
alpaca,,Yo sentence lai motivational quote ma change gara: 'Life ma challenges auncha.',"Life ma challenges auncha, tara tyo challenges le nai hami lai strong bancha."
alpaca,,Mero podcast ko episode title suggest gara. Topic chha: Mental Health Awareness.,Episode Title: 'Mental Health Matters: Let’s Talk About It'.
alpaca,,Yo question ko creative answer deu: 'Why should we protect the environment?',"Environment le hami lai jeevan dincha. Yo protect nagaryo bhane, hami nai aafno future lai risk ma halne chhau."
alpaca,,Mero social media post banauna help gara. Post ko topic chha: New Year Resolution.,"New Year, New Goals! Aabaarko barsa ma healthy rahane, naya skills sikne, ra positive mindset rakhnu hos. Happy New Year, everyone!"
alpaca,,Yo sentence lai rhyming ma lekha: 'Himalaya ko pahad haru dherai ramro chhan.',"Himalaya ko pahad haru, sundar ra majharu, dharti ko crown jasto, hami sabai lai manparu."
alpaca,,Mero business ko tagline suggest gara. Business chha: Organic Food Delivery.,"Tagline: 'Fresh, Organic, Delivered to Your Doorstep!'"
alpaca,,"Yo paragraph lai dialogue form ma lekha: 'Ma bholi exam dinchu. Mero preparation ramro chha, tara ali nervous pani feel bhairako chha.'","Friend: K cha, exam ko lagi ready chhau? Me: Hola, preparation ta ramro chha, tara ali nervous feel bhairako chhu. Friend: Kehi huncha, timi ramro garchau!"
alpaca,,Mero creative writing ko story idea suggest gara.,"Story Idea: Ek jana young scientist le time machine banayecha, tara usle future ma gayera dekheko kura le usko present lai change garcha."
alpaca,,Yo sentence lai metaphor use garera lekha: 'Usko smile surya jasto chha.',"Usko smile surya ko jyoti jasto chha, andhyarolaai hataune."
