category,instruction,context,question,response
translate,Translate the text below from Nepali to English:, ,Malai naya movie herne ichcha cha. Kunai ramro movie cha herna lai?,I feel like watching a new movie. Is there any good movie to watch?
RAG,Answer the following question by looking at the context if context is given.,"Hamro delivery charge Kathmandu upatyaka ma Rs. 100, ra Kathmandu bahira Rs. 200 ho. Remote area ko lagi thap Rs. 50 lagna sakcha. Rs. 2000 bhandaa mathi ko order ma delivery charge free chha.",Delivery ko lagi kati lagat lagcha?,"Kathmandu ma Rs. 100, Kathmandu bahira Rs. 200 lagcha, ra Rs. 2000 bhandaa mathi ko order ma free chha."
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko sabai bhanda moti udyog krishi ho, jaha dhan, makai, ra jhola haru ko upaj dherai matra ma garincha. Krishi udyog le Nepal ko arthik roop ma pramukh yogdan garne cha, jaha loktantrik garib ra samriddhi ko saath, Nepal ko gramin jeevan ko sudhar garincha. Nepal ko ek anek aabashyak krishi sansadhan haru, jaha jeevan ko ek mahatvapurn hissa ho, arthik samriddhi ko ek adhar ho.",Nepal ko sabai bhanda moti udyog k ho?,"Krishi, Nepal ko sabai bhanda moti udyog ho, jaha dhan, makai ra anek aur krishi utpadan ko safalta Nepal ko arthik vyavastha ko ek mahatvapurn kendra ho."
RAG,Answer the following question by looking at the context if context is given.,Shoes size exchange ko lagi unused shoes original packaging ma hunu parcha. Size availability confirm bhaye 7 din bhitra exchange process initiate huncha. Color ya style change exchange ma include chaina.,Shoes size exchange garna milcha?,"Shoes size exchange garna milcha, 7 din bhitra request garna parcha."
translate,Translate the text below from English to Nepali:, ,Nature gives humans a feeling of calmness and beauty.,Nature le manushya lai calmness ra beauty ko feeling dincha.
RAG,Answer the following question by looking at the context if context is given.,"Product List: Redmi Note 9 Pro, Price: Rs. 20000. Samsung Galaxy, Price: Rs. 60000. iPhone, Price: Rs. 100000. Calculator, Price: Rs. 500. Sony TV, Price: Rs. 40000.",Samsung Galaxy available cha ki xaina?,Hami sanga Samsung Galaxy available cha.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko prasiddha jangal Chitwan National Park ho, jo wildlife ko liye prasiddha ho. Chitwan ma rhinos, tigers, elephants ra biraloharu basnecha.",Nepal ko prasiddha jangal k ho?,"Chitwan National Park, Nepal ko prasiddha jangal ho."
RAG,Answer the following question by looking at the context if context is given.,"Asus ROG Strix (Price: 95000) ma features: Intel i7 processor, 16 GB RAM, RTX 3060 graphics card, 512 GB SSD, ra RGB backlit keyboard. Gaming ko lagi perfect laptop ho.",Asus ROG Strix laptop ma RAM kati ho?,Asus ROG Strix ma 16 GB RAM cha.
RAG,Answer the following question by looking at the context if context is given.,"Product name: iPhone 11, Price: 85000, Features: 128 GB, Dual Camera. Available colors: Black, White, Red.",iPhone 11 ko color options k k cha?,"iPhone 11 Black, White, ra Red colors ma available cha."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali prachin kala ko ek udaharan ra tyo ko mahatwa lekhnu.,"Mithila kala ek prachin Nepali kala ho, jun le rang ra bhavana ko madhyam bata samajik ra sanskritik sandesh dincha."
translate,Translate the text below from English to Nepali:, ,"I have been learning how to cook traditional Nepali dishes, and it has been a lot of fun.","Maile paramparagat Nepali khana pakana sikiraheko chu, ra yo dherai majjako cha."
translate,Translate the text below from Nepali to English:, ,"Internet le hamile samparka garna, kaam garna, ra jankari prapta garna ko tarika ma kranti lyayeko cha.","The internet has revolutionized the way we communicate, work, and access information."
RAG,Answer the following question by looking at the context if context is given.,Cultural tourism in Nepal attracts visitors to heritage sites like Bhaktapur Durbar Square and Patan. It contributes to preserving traditional art and architecture.,Nepal ma cultural tourism ko mahatwa ko barema jankari dinus.,Nepal ma cultural tourism Bhaktapur Durbar Square ra Patan jastai heritage sites ma visitors attract garcha. Yo traditional art ra architecture preserve garna madad garcha.
translate,"Translate the given text from Roman Nepali language to English language.
",,"dashain ko bela ghar ma ekdam lively vibe huncha. sabai jana purano kapda phalera naya kapda kincha ra ghar ko decoration ma involve huncha. yo barsha ta maile family sanga chai ghanta ko samay dinu parcha bhanera sochya, tara kaam ko karan ekdam limited time available cha. aba hami le puro celebration ka plan adjust garna parecha, tara aba yo family moments ekdam valuable feel bhayeko cha.","During Dashain, the house feels very lively. Everyone throws away old clothes and buys new ones, getting involved in decorating the house. This year, I wanted to dedicate hours of time to my family, but work commitments have left me with limited time. Weâ€™ve had to adjust our celebration plans, but these family moments now feel even more valuable."
translate,Translate the text below from Nepali to English:, ,Samaj ma budha manche haru lai samman garnu parchha. Uniharule dherai anubhav ra gyan sanga hamro samaj lai agadi badhauchhan.,Elderly people in society should be respected. They contribute their experience and knowledge to move our society forward.
translate,Translate the text below from Nepali to English:, ,"Ghumnu ko fayeda ma naya anubhav prapta garna, bibhinna sanskritiko barema janna, ra vyaktigat bikash samet chan.","The benefits of traveling include gaining new experiences, learning about different cultures, and personal growth."
RAG,Answer the following question by looking at the context if context is given.,"Anker PowerCore 20000 ek high-capacity power bank ho. Yesko price 5000 ho. Yesma 20,000 mAh capacity, fast charging support, ra dual USB ports cha.",Anker PowerCore 20000 power bank ko price kati ho?,"Anker PowerCore 20000 ko price 5000 ho. Yesma 20,000 mAh capacity, fast charging support, ra dual USB ports cha."
RAG,Answer the following question by looking at the context if context is given.,"Rara Lake, Mugu district ko sabai thulo lake ho, ra yaha ko scenic beauty trekking ko lagi popular destination ho. Rara Lake ko altitude 2,990 meters cha ra yaha janey trekkers haru le peaceful environment ra pure natural beauty ko anubhav garna sakchhan.",Rara Lake kahaan cha?,"Rara Lake Mugu district ma cha, ra yo Nepal ko sabai thulo freshwater lake ho."
open_qa,You are a helpful assistant. Answer the given user question.,"ram, shyam, sita, kalo","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Kalo naam hoina, aru tinwota naam hun."
RAG,Answer the following question by looking at the context if context is given.,"Biratnagar Tech Mart, Traffic Chowk ma electronic saman jastai DSLR cameras, gaming accessories, ra mobile phone haru supat mulya ma available chhan.",Biratnagar Tech Mart ma gaming mouse available chha?,"Yes, hamro store ma Logitech, Razer ra SteelSeries ko gaming mouse available chhan."
translate,Translate the text below from Nepali to English:, ,Nepal ma dherai jana le swasthya sewako abhab bata pareschan. Samudayi le milera yo samasya lai dur garna sakchha.,Many people in Nepal suffer from a lack of healthcare services. The community can work together to solve this issue.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko prasiddha trekking trail Langtang Valley Trek ho, jo Kathmandu se anek din ka duri ma sthit cha. Langtang Valley, trekking aur paryatan ko liye prasiddha destination ho.",Nepal ko prasiddha trekking trail k ho?,"Langtang Valley Trek, Nepal ko prasiddha trekking trail ho."
open_qa,You are a helpful assistant. Answer the given user question.,,Social media addiction kasari control garne?,"Addiction control garna time limit set garne, notifications band garne ani productive alternatives khojne parcha."
open_qa,You are a helpful assistant. Answer the given user question.,,Robotics ko concept kasto ho? Lekhnuhos.,"Robotics bhaneko robot banayera mancheko kaam sajilo ra tezi banaucha. Robot haru manufacturing industry ma dherai prayog hunchha, ani ghar ma pani kaam garna sakchha."
open_qa,You are a helpful assistant. Answer the given user question.,,Tapai kasari English ma 'Namaste' bhanchha bataunus.,Hello
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko sabai bhanda prasiddha wildlife ko species Royal Bengal Tiger ho, jo Chitwan National Park ra Bardia National Park ma paeincha. Royal Bengal Tiger ko jivit darshan, wildlife safaris, ra prakritik drishya Nepal ko wildlife tourism ko ek adbhut anubhav ho. Yo tiger species, jo endangered species ho, Nepal ko wildlife reserve ko mahatva ko ek pradarshan ho.",Nepal ko sabai bhanda prasiddha wildlife ko species k ho?,"Royal Bengal Tiger, Nepal ko sabai bhanda prasiddha wildlife species ho, jaha wildlife safaris ko madhyam bata tiger ko darshan ko avasara milcha."
open_qa,You are a helpful assistant. Answer the given user question.,,Greenhouse effect bhaneko ke ho? Isko positive ra negative side lekhnu.,"Greenhouse effect bhaneko sun ko energy prithvi ma rogda, atmosphere le tyaslai samatne process ho. Aba positive side ma yo prithvi lai warm rakhna madat garcha, negative side ma global warming badcha."
translate,Translate the text below from Nepali to English:, ,"Football ek yasto sport ho jasle millions le manparchan. Yo mancheharu lai ekatha lyaunchha, unforgettable memories janmauchha, ra future generations lai inspire garchha.","Football is a sport that is loved by millions. It brings people together, creates unforgettable memories, and inspires future generations."
open_qa,You are a helpful assistant. Answer the given user question.,,Biology bhaneko k ho bhanera lekh.,"Biology bhaneko jeevan ra jeev haru ko study ho. Yo ma manche, janawar, plant ra microorganism haru ko bare ma sabai kura bujhincha."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma sabai bhanda purano school kun cha?,Durbar High School.
translate,Translate the text below from Nepali to English:, ,"Maile Europe ghumna jana laagi paisa jama garirakheko chu, ra maile aasha garchhu ki ma arko barsha janchhu.","I have been saving money for a trip to Europe, and I hope to go next year."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma laptops, tablets, ra wireless earbuds available chhan. Dashain ma laptops ma 12% discount cha.",Hajurko laptops ma Dashain offer cha?,Dashain ma laptops ma 12% discount cha.
RAG,Answer the following question by looking at the context if context is given.,"Nepalgunj Electronics Bazaar, Dhamboji ma cha. Hamro store smartphones, laptops, ra accessories ko ramro collection rakhne garauchha. Tapai haru delivery service pani upabhog garna saknuhuncha. Hamro store ko timing 10 bajey dekhi 8 bajey samma ho.",Hamro taraf bata kun kun products chaleko cha aile?,"Nepalgunj Electronics Bazaar ma iPhone 12, HP Pavilion 15, ra Bose QuietComfort Earbuds trending ma cha."
RAG,Answer the following question by looking at the context if context is given.,"Product: Huawei Watch GT3, Price: Rs. 24,999, Features: AMOLED Display, 14 Days Battery, GPS.",Huawei Watch GT3 ko battery life kati ho?,Huawei Watch GT3 ko battery life 14 din ho.
translate,Translate the text below from Nepali to English:, ,Music le manushya ko life ma emotions lai balance garcha.,Music balances emotions in life.
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma delivery option chha, jun Nepal bhar provide garna milcha. Delivery process hamro logistics partner le sambhalcha, ra Kathmandu ma fast delivery option pani chha. Remote area ma delivery 7 din samma lagna sakcha.",Delivery provide garna milcha?,"Ho, delivery Nepal bhar provide garna milcha."
RAG,Answer the following question by looking at the context if context is given.,"Seasonal fruits like mangoes, apples, and bananas are delivered fresh and typically arrive within 3 to 5 days. The return policy allows returns only for damaged products, and quality checks are done during packaging to ensure freshness. Temperature-controlled boxes are used for packaging to maintain the integrity of the fruits during transit.",How can I confirm the quality of the seasonal fruits before purchasing?,"The quality of seasonal fruits is confirmed through packaging that includes temperature-controlled boxes, ensuring freshness and integrity of the produce."
translate,"Translate the given text from Roman Nepali language to English language.
",,Hijo ratta pani parcha jasto cha.,It seems like it will rain tonight.
RAG,Answer the following question by looking at the context if context is given.,"Smart Electronics le festive season ma 5% discount rakheko cha. Tapai le printers, laptops, ra mobile accessories ko wide selection dekhna saknu hunchha. Yo discount limited time offer ho.",Festive season ma kati discount cha?,"Festive season ma 5% discount cha, printers ra laptops ma."
RAG,Answer the following question by looking at the context if context is given.,"TechBazaar, Kathmandu-11, Maitidevi ko center ho. Hamro delivery service Nepal bhar available chha, tara Kathmandu valley bhitra ko delivery free ho. Baaki sabai jilla haru ma delivery charge saman ko weight ra distance anusar lagcha. Kathmandu valley bhitra ko express delivery ko lagi 200 rupaiya charge lagcha, jasma saman order gareko 6 ghanta bhitra dispatch huncha. Aba saman order gareko total amount Rs. 3000 banda mathi bhaye delivery free huncha, Kathmandu bahira pani.",Tapai Kathmandu valley bahira ko delivery ko barema thap jankari dinu huncha?,Kathmandu valley bhitra delivery free chha. Baaki Nepal bhar delivery charge saman ko weight ra distance anusar lagcha. Rs. 3000 banda mathi order ma Kathmandu bahira pani free delivery chha.
translate,Translate the text below from Nepali to English:, ,Malai aaja football khelne ichcha cha. Sathi haru sanga ground ma jane plan banauchu.,I feel like playing football today. I’ll plan to go to the ground with my friends.
translate,Translate the text below from English to Nepali:, ,"The traditional cuisine of Nepal, such as Dal Bhat, is nutritious and delicious.","Nepal ko paramparagat khana, jaise Dal Bhat, poshak ra swadisht chan."
open_qa,You are a helpful assistant. Answer the given user question.,,Garmi ma fresh feel kasari garne?,"Garmi ma fresh feel garna dhilo dhilo paani khanu, halka kapda lagau ra AC ya fan ko use garne."
RAG,Answer the following question by looking at the context if context is given.,"Birtamode Digital Mart, Bus Park ma cha. Hamile smartphones, laptops, ra earphones rakhchau. Samsung Galaxy M02, Redmi 9A, ra Realme C15 jaasto mobiles available cha. Delivery service ra warranty options available cha.","Tapai ko store ma 20,000 bhitra ko kun kun mobile phones available cha?","Birtamode Digital Mart ma Samsung Galaxy M02, Redmi 9A, ra Realme C15 pauna saknuhuncha."
translate,"Translate the given text from Roman Nepali language to English language.
",,Timro idea chai dherai ramro lagcha.,Your idea seems really good.
RAG,Answer the following question by looking at the context if context is given.,"SmartTech Store, Biratnagar-5, Main Road ma electronics ko delivery service haru Purba Nepal ka sabai thau ma available chha. Tarika anusar, Biratnagar bhitra ko delivery free chha. Baki thau haruma delivery charge applicable chha.",Hajurko Biratnagar bhitra free delivery available chha?,"Hajur, Biratnagar bhitra free delivery available chha. Purba Nepal ka aru thau haru ma delivery charge lagcha."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"They celebrated their friendâ€™s promotion with a virtual party, complete with games and music over video call.",Uniharu le saathi ko promotion virtual party ma games ra music sanga video call ma manaye.
open_qa,You are a helpful assistant. Answer the given user question.,,Travel itinerary kasari organize garne?,"Itinerary organize garna key destinations list garne, time-efficient plan banayera ani local transportation consider garne parcha."
translate,Translate the text below from English to Nepali:, ,Music brings happiness and joy to life.,Music le manushya ko life ma happiness ra joy dincha.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko sabai bhanda purano tibetan buddhist monastery Pharping ho, jo Kathmandu ko pashchim ma sthit cha. Pharping ko tibetan buddhist monastery ma anek tibetan bhikshu haru ko anushasan ra shiksha chalne garincha. Yaha ko historical ra dharmik mahatva tibetan buddhism ko itihas ra mahatva ko ek anmol roop ho. Pharping ko monastery, jahaan Buddha ko siksha ko adhyayan garincha, Nepal ko tibetan buddhist community ko ek mahatvapurn dharmik kendra ho.",Nepal ko sabai bhanda purano tibetan buddhist monastery k ho?,"Pharping ko tibetan buddhist monastery ko purano itihas, tibetan buddhism ko mahatva, ra unko dharmik yogdan Nepal ko samajik ra dharmik virasat ko ek anmol hissa ho. Yaha ko pramukh dharmik karyakram haru, tibetan bhikshu haru ko anushasan ra shraddha ko ek pradarshan garincha."
translate,Translate the text below from English to Nepali:, ,"I really love coffee, especially in the morning. Today I bought new coffee beans, and I’m thinking of making fresh coffee daily. Coffee really brightens up the day.","Malai ta coffee dherai man parxa, especially morning ma. Aajai maile new coffee beans kineko xu, aba daily fresh coffee banaune sochiraxu. Coffee le ta day nai bright banauxa."
RAG,Answer the following question by looking at the context if context is given.,"NextGen Tech, Biratnagar-8 ma Lenovo Legion 5 ra MacBook Air M2 laptops available chha.",NextGen Tech ma kun kun laptops available chha?,NextGen Tech ma Lenovo Legion 5 ra MacBook Air M2 laptops available chha.
translate,"Translate the given text from English language to Roman Nepali language.
",,"The group of hikers climbed steadily up the rocky trail, their determination evident as they encouraged one another to keep moving toward the mountain's peak.","Hiker haruko samuh chattanle bharieko bato mathi lagataar chadhdai thiye, unko dridha ichchha dekhinchha jaba ek arka lai pahad ko chuchuro samma pugna uthsaahit gardai thiye."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,The scientists conducted a groundbreaking study to understand the long-term effects of air pollution on human health.,Vaigyanik haru le hawa ko dukha manis ko swasthya ma kasto asar parcha bhanera ekdam ramro study gare.
RAG,Answer the following question by looking at the context if context is given.,"Itahari Mobile Plaza, Itahari-3 ma cha. Hami Samsung Galaxy A52, Oppo Reno 4, ra Asus Zenbook 14 laptops ra mobiles pauna saknuhuncha. Price range NPR 18,000 to NPR 70,000. Stock available cha.",Asus Zenbook 14 ko stock cha ra kati price cha?,"Asus Zenbook 14 ko stock available cha. Price NPR 68,500 cha."
RAG,Answer the following question by looking at the context if context is given.,"NepalGadgetStore, Kathmandu-7, Kalanki ma electronics ra accessories ko collection available chha. Kathmandu valley bhitra Kathmandu, Lalitpur, ra Bhaktapur ko delivery free chha. Aba saman ko order Rs. 4000 mathi gareko bhaye Banepa, Dhulikhel, ra Naubise samma pani delivery free huncha. Courier service dwara Nepal ko purba dekhi paschim samma delivery garna milchha, tara charge saman ko weight ra distance anusar huncha.",Banepa samma free delivery dinu huncha ki charge lagcha?,"Hajur, Rs. 4000 mathi ko order gareko bhaye Banepa samma free delivery chha."
RAG,Answer the following question by looking at the context if context is given.,"Platform ko travel section ma domestic flights, hotels, ra holiday packages book garna milcha. Cancelation policy flight tickets ko lagi airline rules anusar vary garcha. Refunds cancellation ko lagi 7-10 din bhitra aauchha.",Holiday package cancel garna refund process kati din lagcha?,Holiday package cancel garna refund process 7-10 working din samma lagcha.
summary,Summarize the following text:,,"Ek din ek painter le ekdam beautiful landscape painting banaucha. Aba usle hills, rivers, ra sunset ko view include garera sabai impressed huncha. Aba tyo painting ek art gallery ma rakhincha.",Ek painter le beautiful landscape painting banayera art gallery ma rakhcha.
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma smartphones, tablets, ra accessories upalabdha chhan. Dashain sale ma smartphones ma 10% discount cha.",Hajurko smartphones ma Dashain ma ke discount cha?,Dashain sale ma smartphones ma 10% discount cha.
translate,Translate the text below from Nepali to English:, ,Nepal maa technology dherai teji le agadi badhdai cha. Dherai mancheharu le aajkal smartphone ra internet use garchhan connect rahna ko lagi. Social media platforms like Facebook ra Instagram youth haru maa dherai popular chhan.,Technology is rapidly advancing in Nepal. Many people now use smartphones and the internet to stay connected. Social media platforms like Facebook and Instagram are very popular among the youth.
translate,Translate the text below from Nepali to English:, ,Plant-based diet ko benefits ma health improve huna ra environmental impact kam huna samet chan.,The benefits of a plant-based diet include improved health and a reduced environmental impact.
RAG,Answer the following question by looking at the context if context is given.,Installation service pauna tapai le checkout garda 'Installation Service' select garnu parcha. Installation service available bhaye staff le tapailai installation date ra time ko details dinchha.,Store ma product haru ko installation service kasari pauna sakincha?,Checkout garda 'Installation Service' select garnu hos. Staff le installation date ra time ko details dinchha.
translate,Translate the text below from English to Nepali:, ,The new shopping mall in the city has a wide variety of stores and entertainment options.,Saaharma naya shopping mall ma vibhinna store ra manoranjak vikalp haru chan.
RAG,Answer the following question by looking at the context if context is given.,"Product Name: Smartwatch FitPro Max, Warranty: 2 years manufacturer warranty. Extended Warranty: Available for NPR 2,500. Competitor Warranty: 1 year at Store Z. Usage Tip: Register warranty online for faster claims. Delivery Time: 2-3 days in Kathmandu.",Smartwatch FitPro Max ko warranty kati din ko cha?,"Hajur, Smartwatch FitPro Max ko warranty 2 years ko cha. Extended warranty NPR 2,500 tirera garna sakincha."
translate,Translate the text below from English to Nepali:, ,Music brings positivity and hope to life.,Music le manushya ko life ma positivity ra hope dincha.
RAG,Answer the following question by looking at the context if context is given.,Hamro ecommerce platform le saman return process ma 'Return in Progress' status dincha. Return warehouse ma pugi sakyo bhaye 'Return Received' status dekhaunchha.,Return process ma saman ko status kasari update huncha?,'Return in Progress' ra 'Return Received' status update huncha.
open_qa,You are a helpful assistant. Answer the given user question.,"ghanti, mobile, radio, kitaab","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Kitaab bajne chij hoina, aru tinwota bajne chij hun."
translate,"Translate the given text from Roman Nepali language to English language.
",,Yo kaam ma chai sabai le equal effort contribute garna zaruri cha.,Everyone needs to contribute equal effort to this work.
RAG,Answer the following question by looking at the context if context is given.,"Product: Realme Narzo 60, Price: Rs. 29,999, Features: 8GB RAM, 128GB Storage, 5G.",Realme Narzo 60 5G support garcha?,"Ho, Realme Narzo 60 5G support garcha."
open_qa,You are a helpful assistant. Answer the given user question.,,Bus ticket online kasari katne?,"HamroPatra app ya website bata ticket book garna milcha, destination ra date halnu parcha."
RAG,Answer the following question by looking at the context if context is given.,"Hamro delivery system Nepal bhar available chha. Hamro logistics partner haru ko madhyam bata delivery 1-5 din samma complete huncha. Kathmandu upatyaka bhitra express delivery ko lagi 1 din ko option chha, ra remote areas ma delivery process lamba huna sakcha.",Delivery system kasto cha?,Hamro delivery system Nepal bhar available chha.
translate,"Translate the given text from Roman Nepali language to English language.
",,timi ta ekdam support garne manche chau. maile jati difficult phase ma bhaye ni timro help le ekdam motivate huncha.,"You are such a supportive person. No matter how difficult my phase is, your help really motivates me."
RAG,Answer the following question by looking at the context if context is given.,"Panasonic Microwave Oven NN-SN936 ek high-capacity microwave oven ho. Yesko price 28000 ho. Yesma 2.2 cubic feet capacity, inverter technology, ra 1250 watts power available cha.",Panasonic Microwave Oven NN-SN936 ko barema jankari dinu?,"Panasonic Microwave Oven NN-SN936 ko price 28000 ho. Yesma 2.2 cubic feet capacity, inverter technology, ra 1250 watts power available cha."
translate,Translate the text below from Nepali to English:, ,Aaja mero gadi ma petrol sakiyo. Petrol pump ma jana parne bhaeko cha.,Today my car ran out of petrol. I need to go to the petrol pump.
translate,Translate the text below from English to Nepali:, ,The new bridge has significantly reduced travel time between the two cities.,Naya bridge le dui saahar bichko yatra samaya dherai kam gareko cha.
RAG,Answer the following question by looking at the context if context is given.,"Product ID: 11223, Name: Smartphone XYZ, Specifications: 5.5-inch display, 64GB storage, 8GB RAM, 48MP camera.",Yo product ko specifications k k cha? Product ID: 11223,"Product ID: 11223 ko specifications yas prakar cha: 5.5-inch display, 64GB storage, 8GB RAM, 48MP camera. Dherai details ko lagi product page ma hernuhos."
translate,Translate the text below from English to Nepali:, ,"AI is transforming the way we interact with technology. Voice assistants like Siri and Alexa use AI to understand and respond to user commands, making everyday tasks easier and more convenient.","AI le technology sanga interact gariraheko tarika lai transform gariraheko chha. Siri ra Alexa jasta voice assistants le AI use garchhan user commands lai bujhera respond garna, jasle everyday tasks lai easier ra convenient banauunchha."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma gaming laptops, Bluetooth speakers, ra power banks upalabdha chhan. Winter sale ma Bluetooth speakers ma 7% discount cha.",Hajurko Bluetooth speakers ma winter offer cha?,Winter sale ma Bluetooth speakers ma 7% discount cha.
translate,"Translate the given text from Roman Nepali language to English language.
",,timi kaha thiyou?,Where were you?
open_qa,You are a helpful assistant. Answer the given user question.,Speed test garne simple method.,Tapai kasari internet connection test garna saknuhuncha?,"Speedtest.net website ya app ma janus, ani ‘Go’ button thichnus."
translate,Translate the text below from English to Nepali:, ,My phone number is 9841234567.,Mero phone number 9841234567 ho.
open_qa,You are a helpful assistant. Answer the given user question.,Ram ra Sita,Ek jodakhat lekhidinus.,Ram ra Sita park ma ghumiraheka chhan.
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma gaming consoles, wireless earbuds, ra tablets upalabdha chhan. New Year sale ma sabai tablets ma 12% discount cha.",Hajurko tablets ma New Year ko discount cha?,New Year sale ma tablets ma 12% discount cha.
RAG,Answer the following question by looking at the context if context is given.,"Chandragadhi Tech Store, Bhadrapur ma cha. Tapai le Samsung Galaxy M12, Realme C21Y, ra Oppo F19 Pro ko mobiles pauna saknuhuncha. Price range NPR 12,000 to NPR 28,000.",Realme C21Y ko stock cha ra kati price cha?,"Realme C21Y ko stock available cha. Price NPR 14,500 cha."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali bhasha ma ek prasiddha word ra uska artha lekhnu.,"'Namaste' ek prasiddha Nepali sabda ho, junko artha ho 'timi lai namra abhinandan'."
translate,"Translate the given text from Roman Nepali language to English language.
",,Tyo problem fix garna ta maile aru help magnu parcha.,"To fix that problem, I need to ask for more help."
translate,"Translate the given text from Roman Nepali language to English language.
",,"hijo maile ekdam funny movie herna paye. puro time ta hasna ma gayo, ani mood relax bhayeko jasto lagyo.","Yesterday, I watched such a funny movie. I spent the whole time laughing, and it felt like my mood completely relaxed."
translate,"Translate the given text from Roman Nepali language to English language.
",,Hamro process streamline garna feedback le importance rakhcha.,Feedback plays an important role in streamlining our process.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko prasiddha garden Garden of Dreams ho, jo Kathmandu ma sthit cha. Yo garden, shanti aur prakritik sundarta ko liye prasiddha cha, jaha visitors haru man lagdo samay bitaune garincha.",Nepal ko prasiddha garden k ho?,"Garden of Dreams, Nepal ko prasiddha garden ho."
translate,Translate the text below from Nepali to English:, ,"Malai ta gardening dherai man parxa, especially flowers haru lagauna. Aajai maile mero garden ma new roses lagako xu, aba ali care garna parla. Gardening le ta mind lai calm garxa.","I really love gardening, especially planting flowers. Today I planted new roses in my garden; now I’ll have to take care of them. Gardening really calms the mind."
RAG,Answer the following question by looking at the context if context is given.,"Kathmandu valley bhitra delivery charge Rs. 100 hunchha. Delivery normally 1-2 business days ma hunchha. Order Rs. 5,000 bhanda badi bhaye delivery charge free hunchha.",Kathmandu bhitra delivery charge kati hunchha?,Kathmandu valley bhitra delivery charge Rs. 100 hunchha.
RAG,Answer the following question by looking at the context if context is given.,"SmartBuy, Itahari-10, BP Chowk ma latest smartphones ra gaming accessories ko collection chha.",SmartBuy ma iPhone 14 cha? Ra kati stock chha?,iPhone 14 available chha. Quantity: 3 piece.
open_qa,You are a helpful assistant. Answer the given user question.,,Jam lagda k garna parcha?,"Jam lagda patience rakhnu, horn nabajaaunu, ra emergency lane free chhodnu parcha."
translate,Translate the text below from Nepali to English:, ,'Guru-Shishya Parampara' ko concept le guru ra shishya ko sambandh ko mahatva lai jor darcha.,The concept of 'Guru-Shishya Parampara' emphasizes the importance of teacher-student relationships.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko lokpriya sports ma football, cricket, ra volleyball chha. Football, Nepal ko pramukh sports ho, jaha chhoto ra lamba duri ko khel khelincha. Cricket ko lokpriyata, Nepal ma recent years ma badheko cha, jaha anek youth le cricket ko khel ko maza linu garincha. Volleyball ko bhi Nepal ma lokpriyata cha, jaha indoor ra outdoor volleyball ko khel haru garincha.",Nepal ko lokpriya sports k ho?,"Football, cricket, ra volleyball Nepal ko lokpriya sports haru ho, jaha har ek khel ko lokpriyata Nepal ko sports culture ko ek pramukh hissa ho."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,She kept her promise and called her friend as soon as she got home.,Usle afno wada rakhi ani ghar pugne bittikai saathi lai call garyo.
RAG,Answer the following question by looking at the context if context is given.,"Gorkha Durbar Gorkha ma pareko ek aitihasik durbar ho, jun Prithvi Narayan Shah ko janma thau pani ho. Yaha bata Manaslu Himal ko drishya dekhna milchha. Durbar sanga Gorkha kalika mandir ra Gorakhnath Mandir pani connected chhan, jun dharmik roop ma dherai mahatwapurna chha.",Gorkha Durbar kina mahatwapurna chha?,"Gorkha Durbar Prithvi Narayan Shah ko janma thau ho, Manaslu Himal ko drishya dekhna milchha, ra Gorkha Kalika mandir sanga connected chha."
translate,Translate the text below from English to Nepali:, ,Volunteering is a rewarding way to give back to the community and make a difference.,Volunteering samaj lai farkaune ra farak lyauna ek pratidan ho.
translate,Translate the text below from English to Nepali:, ,I have been trying to practice mindfulness to reduce stress and improve my mental health.,Maile tension kam garna ra mero mansik swasthya sudharna mindfulness abhyas garna khojiraheko chu.
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"The kids chased each other around the garden, laughing loudly.","Ketaketi haru bagan ma ek arka ko pachi lagcha, jor le haascha."
translate,"Translate the given text from Roman Nepali language to English language.
",,Ke khana man lagcha?,What do you feel like eating?
