category,context,question,response,instruction,prompt,eval_prompt,model_generation
translate, ,Nature le manushya ko life ma health ra happiness dincha.,Nature brings health and happiness to life.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Nature le manushya ko life ma health ra happiness dincha.<end_of_turn>
<start_of_turn>model
Nature brings health and happiness to life.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Nature le manushya ko life ma health ra happiness dincha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Nature le manushya ko life ma health ra happiness dincha.<end_of_turn>
<start_of_turn>model
Nature provides health and happiness in life.<eos>"
alpaca, ,Explain the concept of smart fabrics in Roman Nepali.,"Smart fabrics bhaneko textiles ho jasma technology integrate gareko huncha. Yo fabrics le sensors, LEDs, or even heating elements lai include garna sakcha. Smart fabrics ko use fitness tracking, medical monitoring, ra even fashion ma huncha. Yo le clothing lai functional ra interactive banacha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Explain the concept of smart fabrics in Roman Nepali.<end_of_turn>
<start_of_turn>model
Smart fabrics bhaneko textiles ho jasma technology integrate gareko huncha. Yo fabrics le sensors, LEDs, or even heating elements lai include garna sakcha. Smart fabrics ko use fitness tracking, medical monitoring, ra even fashion ma huncha. Yo le clothing lai functional ra interactive banacha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Explain the concept of smart fabrics in Roman Nepali.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Explain the concept of smart fabrics in Roman Nepali.<end_of_turn>
<start_of_turn>model
Smart fabrics bhaneko fabrics ho jasma sensors ra electronics integrate garera smart functionality provide garcha. Yo le health monitoring, environmental sensors, ra communication purposes jasto kaam garcha.<eos>"
translate, ,Hami haru le aba feedback collect garna parcha.,We need to collect feedback now.,"Translate the given text from Roman Nepali language to English language.
","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

Hami haru le aba feedback collect garna parcha.<end_of_turn>
<start_of_turn>model
We need to collect feedback now.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

Hami haru le aba feedback collect garna parcha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

Hami haru le aba feedback collect garna parcha.<end_of_turn>
<start_of_turn>model
We now need to collect feedback.<eos>"
open_qa, ,Eco-friendly lifestyle kasari adopt garne?,"Eco-friendly lifestyle adopt garna single-use plastic avoid garne, recycling practice garne ani green products choose garne parcha.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Eco-friendly lifestyle kasari adopt garne?<end_of_turn>
<start_of_turn>model
Eco-friendly lifestyle adopt garna single-use plastic avoid garne, recycling practice garne ani green products choose garne parcha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Eco-friendly lifestyle kasari adopt garne?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Eco-friendly lifestyle kasari adopt garne?<end_of_turn>
<start_of_turn>model
Eco-friendly lifestyle adopt garna plastic kam use garne, renewable energy prefer garne, ra recycling practice garna parcha.<eos>"
alpaca,Maile aaja naya kitab kinne.,Translate the following Roman Nepali sentence into English.,I will buy a new book today., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following Roman Nepali sentence into English.
Context: Maile aaja naya kitab kinne.<end_of_turn>
<start_of_turn>model
I will buy a new book today.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following Roman Nepali sentence into English.
Context: Maile aaja naya kitab kinne.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following Roman Nepali sentence into English.
Context: Maile aaja naya kitab kinne.<end_of_turn>
<start_of_turn>model
I bought a new book today.<eos>"
alpaca,Tihar,Ek Nepali festival ko importance explain garera dekhau.,"Tihar Nepali festival ho, jun lights ani brothers-sisters ko bond celebrate garna manincha. Tihar ma kukur, gai, ra laxmi puja pani garincha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ek Nepali festival ko importance explain garera dekhau.
Context: Tihar<end_of_turn>
<start_of_turn>model
Tihar Nepali festival ho, jun lights ani brothers-sisters ko bond celebrate garna manincha. Tihar ma kukur, gai, ra laxmi puja pani garincha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ek Nepali festival ko importance explain garera dekhau.
Context: Tihar<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ek Nepali festival ko importance explain garera dekhau.
Context: Tihar<end_of_turn>
<start_of_turn>model
Tihar Nepal ko ek important festival ho. Yo festival ko importance Nepali culture ma aayojan, gratitude, ra light ko prastav ko ho. Tihar, ek cultural festival, Nepal ma lights haru ra rangoli haru ko prastav ko ho.<eos>"
translate, ,"Aajai maile new recipe try gareko thiye, Italian pasta banako. Malai ta dherai mitho lagyo, tara mero sathi le chai ali salty bhanyo. Next time ma ali careful hune bichar xu.","Today I tried a new recipe; I made Italian pasta. I really liked it, but my friend said it was a bit salty. Next time, I’ll be more careful.",Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile new recipe try gareko thiye, Italian pasta banako. Malai ta dherai mitho lagyo, tara mero sathi le chai ali salty bhanyo. Next time ma ali careful hune bichar xu.<end_of_turn>
<start_of_turn>model
Today I tried a new recipe; I made Italian pasta. I really liked it, but my friend said it was a bit salty. Next time, I’ll be more careful.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile new recipe try gareko thiye, Italian pasta banako. Malai ta dherai mitho lagyo, tara mero sathi le chai ali salty bhanyo. Next time ma ali careful hune bichar xu.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile new recipe try gareko thiye, Italian pasta banako. Malai ta dherai mitho lagyo, tara mero sathi le chai ali salty bhanyo. Next time ma ali careful hune bichar xu.<end_of_turn>
<start_of_turn>model
Today I tried a new recipe, Italian pasta. I thought it tasted really good, but my friend said it was a bit salty. I’ll be more careful next time.<eos>"
translate, ,"Today I planted new flowers in my home garden; they look so beautiful. Gardening really freshens up the mind, and it’s also a good way to pass time.","Aajai maile mero ghar ko garden ma new flowers lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.",Translate the text below from English to Nepali:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Today I planted new flowers in my home garden; they look so beautiful. Gardening really freshens up the mind, and it’s also a good way to pass time.<end_of_turn>
<start_of_turn>model
Aajai maile mero ghar ko garden ma new flowers lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Today I planted new flowers in my home garden; they look so beautiful. Gardening really freshens up the mind, and it’s also a good way to pass time.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Today I planted new flowers in my home garden; they look so beautiful. Gardening really freshens up the mind, and it’s also a good way to pass time.<end_of_turn>
<start_of_turn>model
Aajai mero ghar ko garden ma naya phool haru ropai thyo; ekdamai sundar lagcha. Gardening le man lai ramro fresh feel garcha, ra dherai ramro time pass garna ko tarika pani ho.<eos>"
alpaca, ,Write a Roman Nepali poem about the beauty of the mountains.,"Pahad haru ko mathi ujyalo cha, Tara haru le chamkidaicha. Pahad ra tarai ko sundarta, Hamro Nepal ko shaan cha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Write a Roman Nepali poem about the beauty of the mountains.<end_of_turn>
<start_of_turn>model
Pahad haru ko mathi ujyalo cha, Tara haru le chamkidaicha. Pahad ra tarai ko sundarta, Hamro Nepal ko shaan cha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Write a Roman Nepali poem about the beauty of the mountains.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Write a Roman Nepali poem about the beauty of the mountains.<end_of_turn>
<start_of_turn>model
Himal ma jharo, tara jharo,
Jindagi ko sukh haro.
Sagar ko kinara, rakh haro,
Nepal ko dherai sundar chhoro.<eos>"
alpaca, ,Ek simple question banaera dekhau.,Nepal ko sabai bhanda thulo taal ko naam ke ho?, ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ek simple question banaera dekhau.<end_of_turn>
<start_of_turn>model
Nepal ko sabai bhanda thulo taal ko naam ke ho?","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ek simple question banaera dekhau.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ek simple question banaera dekhau.<end_of_turn>
<start_of_turn>model
Kina malai aaja school gaye bhayena?<eos>"
RAG,"Product: OnePlus Nord 2, Price: Rs. 54,999, Features: 8GB RAM, 128GB Storage, 5G.",OnePlus Nord 2 5G support garcha?,"Ho, OnePlus Nord 2 5G support garcha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
OnePlus Nord 2 5G support garcha?
Context: Product: OnePlus Nord 2, Price: Rs. 54,999, Features: 8GB RAM, 128GB Storage, 5G.<end_of_turn>
<start_of_turn>model
Ho, OnePlus Nord 2 5G support garcha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
OnePlus Nord 2 5G support garcha?
Context: Product: OnePlus Nord 2, Price: Rs. 54,999, Features: 8GB RAM, 128GB Storage, 5G.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
OnePlus Nord 2 5G support garcha?
Context: Product: OnePlus Nord 2, Price: Rs. 54,999, Features: 8GB RAM, 128GB Storage, 5G.<end_of_turn>
<start_of_turn>model
Ho, OnePlus Nord 2 5G support garcha.<eos>"
RAG,"Product: Panasonic Inverter AC, Price: 48000, Features: 1.5 Ton, 5-Star Energy Rating, Wi-Fi Control",Panasonic AC ko barema btau na.,"Panasonic Inverter AC ko price 48000 ho. Isma 1.5 ton cooling capacity, 5-star energy rating, ra Wi-Fi control feature cha.",Answer the question using the context if it is helpful to answer the question.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Panasonic AC ko barema btau na.
Context: Product: Panasonic Inverter AC, Price: 48000, Features: 1.5 Ton, 5-Star Energy Rating, Wi-Fi Control<end_of_turn>
<start_of_turn>model
Panasonic Inverter AC ko price 48000 ho. Isma 1.5 ton cooling capacity, 5-star energy rating, ra Wi-Fi control feature cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Panasonic AC ko barema btau na.
Context: Product: Panasonic Inverter AC, Price: 48000, Features: 1.5 Ton, 5-Star Energy Rating, Wi-Fi Control<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Panasonic AC ko barema btau na.
Context: Product: Panasonic Inverter AC, Price: 48000, Features: 1.5 Ton, 5-Star Energy Rating, Wi-Fi Control<end_of_turn>
<start_of_turn>model
Panasonic Inverter AC ko price 48000 ho. Isma 1.5 Ton capacity, 5-Star energy rating, ra Wi-Fi control cha.<eos>"
translate, ,Malai exercise garna man parchha.,I like to exercise.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Malai exercise garna man parchha.<end_of_turn>
<start_of_turn>model
I like to exercise.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Malai exercise garna man parchha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Malai exercise garna man parchha.<end_of_turn>
<start_of_turn>model
I feel like exercising.<eos>"
alpaca,Ram ate an apple.,Yo sentence ko passive voice banaera dekhau.,An apple was eaten by Ram., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo sentence ko passive voice banaera dekhau.
Context: Ram ate an apple.<end_of_turn>
<start_of_turn>model
An apple was eaten by Ram.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo sentence ko passive voice banaera dekhau.
Context: Ram ate an apple.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo sentence ko passive voice banaera dekhau.
Context: Ram ate an apple.<end_of_turn>
<start_of_turn>model
An apple was eaten by Ram.<eos>"
RAG,Urgent delivery ko lagi special helpline available xa. Customer support 24/7 active hunxa.,urgent delivery ko lagi contact garna milxa?,"Ho, urgent delivery ko lagi contact garna milxa.", ,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
urgent delivery ko lagi contact garna milxa?
Context: Urgent delivery ko lagi special helpline available xa. Customer support 24/7 active hunxa.<end_of_turn>
<start_of_turn>model
Ho, urgent delivery ko lagi contact garna milxa.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
urgent delivery ko lagi contact garna milxa?
Context: Urgent delivery ko lagi special helpline available xa. Customer support 24/7 active hunxa.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
urgent delivery ko lagi contact garna milxa?
Context: Urgent delivery ko lagi special helpline available xa. Customer support 24/7 active hunxa.<end_of_turn>
<start_of_turn>model
Ho, urgent delivery ko lagi special helpline available xa.<eos>"
RAG,Nepal Electronics Hub le tablets ra smartphones Kathmandu ma aglo order amount ma delivery free dincha. Dashain ma delivery free policy cha.,Dashain ma free delivery cha?,Dashain ma free delivery policy cha.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma free delivery cha?
Context: Nepal Electronics Hub le tablets ra smartphones Kathmandu ma aglo order amount ma delivery free dincha. Dashain ma delivery free policy cha.<end_of_turn>
<start_of_turn>model
Dashain ma free delivery policy cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma free delivery cha?
Context: Nepal Electronics Hub le tablets ra smartphones Kathmandu ma aglo order amount ma delivery free dincha. Dashain ma delivery free policy cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma free delivery cha?
Context: Nepal Electronics Hub le tablets ra smartphones Kathmandu ma aglo order amount ma delivery free dincha. Dashain ma delivery free policy cha.<end_of_turn>
<start_of_turn>model
Dashain ma free delivery cha, Kathmandu ma aglo order amount matra cha.<eos>"
open_qa, ,Online payment ko faida ke ke hun?,"Online payment ko faida haru: sajilo ra chhittai payment, ghar bata nai transaction, ra digital record rakhnai suwidha.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Online payment ko faida ke ke hun?<end_of_turn>
<start_of_turn>model
Online payment ko faida haru: sajilo ra chhittai payment, ghar bata nai transaction, ra digital record rakhnai suwidha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Online payment ko faida ke ke hun?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Online payment ko faida ke ke hun?<end_of_turn>
<start_of_turn>model
Online payment ko faida ma convenience, quick settlement, ra security huncha.<eos>"
RAG,Nepal ko prasiddha adhyapan sthal Tribhuvan University ho. Tribhuvan University ko itihas rishi vedon ma chha ra isko shikshan karyakram haru Nepal ko pramukh uddeshya ho. Yaha ko shikshan aur sanskritik vikas Nepal ko vyavaharik aur samajik safalta ko ek prakash ho.,Nepal ko prasiddha adhyapan sthal k ho?,Tribhuvan University ho.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ko prasiddha adhyapan sthal k ho?
Context: Nepal ko prasiddha adhyapan sthal Tribhuvan University ho. Tribhuvan University ko itihas rishi vedon ma chha ra isko shikshan karyakram haru Nepal ko pramukh uddeshya ho. Yaha ko shikshan aur sanskritik vikas Nepal ko vyavaharik aur samajik safalta ko ek prakash ho.<end_of_turn>
<start_of_turn>model
Tribhuvan University ho.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ko prasiddha adhyapan sthal k ho?
Context: Nepal ko prasiddha adhyapan sthal Tribhuvan University ho. Tribhuvan University ko itihas rishi vedon ma chha ra isko shikshan karyakram haru Nepal ko pramukh uddeshya ho. Yaha ko shikshan aur sanskritik vikas Nepal ko vyavaharik aur samajik safalta ko ek prakash ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Nepal ko prasiddha adhyapan sthal k ho?
Context: Nepal ko prasiddha adhyapan sthal Tribhuvan University ho. Tribhuvan University ko itihas rishi vedon ma chha ra isko shikshan karyakram haru Nepal ko pramukh uddeshya ho. Yaha ko shikshan aur sanskritik vikas Nepal ko vyavaharik aur samajik safalta ko ek prakash ho.<end_of_turn>
<start_of_turn>model
Nepal ko prasiddha adhyapan sthal Tribhuvan University ho.<eos>"
RAG,Gadget Mart Nepal le Dashain ko samaya ma 20% discount cha sabai electronics ra home appliances ma. Tapai le Kathmandu ma free delivery paunuhunchha.,Dashain ma kati discount cha home appliances ma?,Dashain ma 20% discount cha electronics ra home appliances ma.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma kati discount cha home appliances ma?
Context: Gadget Mart Nepal le Dashain ko samaya ma 20% discount cha sabai electronics ra home appliances ma. Tapai le Kathmandu ma free delivery paunuhunchha.<end_of_turn>
<start_of_turn>model
Dashain ma 20% discount cha electronics ra home appliances ma.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma kati discount cha home appliances ma?
Context: Gadget Mart Nepal le Dashain ko samaya ma 20% discount cha sabai electronics ra home appliances ma. Tapai le Kathmandu ma free delivery paunuhunchha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma kati discount cha home appliances ma?
Context: Gadget Mart Nepal le Dashain ko samaya ma 20% discount cha sabai electronics ra home appliances ma. Tapai le Kathmandu ma free delivery paunuhunchha.<end_of_turn>
<start_of_turn>model
Dashain ma 20% discount cha home appliances ra electronics ma.<eos>"
RAG,"GadgetX, Itahari-6, Haat Bazaar ma laptops, mobile phones, ra audio devices ko wide range available chha. Yaha, laptops ko section ma Dell Inspiron 14, HP Pavilion 15, ra Lenovo Legion 5 paunu huncha. Mobile phones ko collection ma OnePlus 10 Pro, iPhone 13, ra Samsung Galaxy A54 upalabdha chha. Audio devices ko section ma JBL Flip 5, Bose SoundLink, ra Sony SRS-XB43 available chha. EMI options ra free delivery Kathmandu, Pokhara, ra Koshi Pradesh bhitra available chha.",Mobile phones ma kun kun models available chha?,"Mobile phones ko OnePlus 10 Pro, iPhone 13, ra Samsung Galaxy A54 models available chha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Mobile phones ma kun kun models available chha?
Context: GadgetX, Itahari-6, Haat Bazaar ma laptops, mobile phones, ra audio devices ko wide range available chha. Yaha, laptops ko section ma Dell Inspiron 14, HP Pavilion 15, ra Lenovo Legion 5 paunu huncha. Mobile phones ko collection ma OnePlus 10 Pro, iPhone 13, ra Samsung Galaxy A54 upalabdha chha. Audio devices ko section ma JBL Flip 5, Bose SoundLink, ra Sony SRS-XB43 available chha. EMI options ra free delivery Kathmandu, Pokhara, ra Koshi Pradesh bhitra available chha.<end_of_turn>
<start_of_turn>model
Mobile phones ko OnePlus 10 Pro, iPhone 13, ra Samsung Galaxy A54 models available chha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Mobile phones ma kun kun models available chha?
Context: GadgetX, Itahari-6, Haat Bazaar ma laptops, mobile phones, ra audio devices ko wide range available chha. Yaha, laptops ko section ma Dell Inspiron 14, HP Pavilion 15, ra Lenovo Legion 5 paunu huncha. Mobile phones ko collection ma OnePlus 10 Pro, iPhone 13, ra Samsung Galaxy A54 upalabdha chha. Audio devices ko section ma JBL Flip 5, Bose SoundLink, ra Sony SRS-XB43 available chha. EMI options ra free delivery Kathmandu, Pokhara, ra Koshi Pradesh bhitra available chha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Mobile phones ma kun kun models available chha?
Context: GadgetX, Itahari-6, Haat Bazaar ma laptops, mobile phones, ra audio devices ko wide range available chha. Yaha, laptops ko section ma Dell Inspiron 14, HP Pavilion 15, ra Lenovo Legion 5 paunu huncha. Mobile phones ko collection ma OnePlus 10 Pro, iPhone 13, ra Samsung Galaxy A54 upalabdha chha. Audio devices ko section ma JBL Flip 5, Bose SoundLink, ra Sony SRS-XB43 available chha. EMI options ra free delivery Kathmandu, Pokhara, ra Koshi Pradesh bhitra available chha.<end_of_turn>
<start_of_turn>model
Mobile phones ma OnePlus 10 Pro, iPhone 13, ra Samsung Galaxy A54 models available chha.<eos>"
RAG,"Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.",Payment garna ko lagi payment receipt kasari share garna sakchu?,"Hajur, payment receipt share garna mildaina. Account dashboard bata receipt download garnuhos.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment receipt kasari share garna sakchu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
Hajur, payment receipt share garna mildaina. Account dashboard bata receipt download garnuhos.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment receipt kasari share garna sakchu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment receipt kasari share garna sakchu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
Hajur, payment receipt self-print garna sakincha ya tapai ko email ma send huncha.<eos>"
