,category,context,question,response,instruction,prompt,eval_prompt,model_generation,model_response
207,RAG,"SmartTech, Itahari-8, Dhangadhi Chowk ma electronics showroom chha. Itahari vitra delivery free chha. Aba saman ko order Rs. 5000 mathi gare Biratnagar, Birtamod, ra Dharan samma delivery free garna milchha. Tara, Pokhara, Kathmandu ra Chitwan ma delivery garna milena.","Pokhara, Kathmandu ra Chitwan ma delivery garna milchha?","Pokhara, Kathmandu ra Chitwan ma delivery garna sakidaina.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Pokhara, Kathmandu ra Chitwan ma delivery garna milchha?
Context: SmartTech, Itahari-8, Dhangadhi Chowk ma electronics showroom chha. Itahari vitra delivery free chha. Aba saman ko order Rs. 5000 mathi gare Biratnagar, Birtamod, ra Dharan samma delivery free garna milchha. Tara, Pokhara, Kathmandu ra Chitwan ma delivery garna milena.<end_of_turn>
<start_of_turn>model
Pokhara, Kathmandu ra Chitwan ma delivery garna sakidaina.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Pokhara, Kathmandu ra Chitwan ma delivery garna milchha?
Context: SmartTech, Itahari-8, Dhangadhi Chowk ma electronics showroom chha. Itahari vitra delivery free chha. Aba saman ko order Rs. 5000 mathi gare Biratnagar, Birtamod, ra Dharan samma delivery free garna milchha. Tara, Pokhara, Kathmandu ra Chitwan ma delivery garna milena.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Pokhara, Kathmandu ra Chitwan ma delivery garna milchha?
Context: SmartTech, Itahari-8, Dhangadhi Chowk ma electronics showroom chha. Itahari vitra delivery free chha. Aba saman ko order Rs. 5000 mathi gare Biratnagar, Birtamod, ra Dharan samma delivery free garna milchha. Tara, Pokhara, Kathmandu ra Chitwan ma delivery garna milena.<end_of_turn>
<start_of_turn>model
Pokhara, Kathmandu ra Chitwan ma delivery garna milena.<eos>","Pokhara, Kathmandu ra Chitwan ma delivery garna milena."
208,summary, ,Ek taalim ma gaun ka kisan harule sanghai ramro utpaadan kasari garnesikdai sanskritiko prabhav ko barema bujhne karyakram suru gare.,Kisan harule ramro utpaadan ra sanskriti ko prabhav sikhe.,Summarize the following text:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek taalim ma gaun ka kisan harule sanghai ramro utpaadan kasari garnesikdai sanskritiko prabhav ko barema bujhne karyakram suru gare.<end_of_turn>
<start_of_turn>model
Kisan harule ramro utpaadan ra sanskriti ko prabhav sikhe.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek taalim ma gaun ka kisan harule sanghai ramro utpaadan kasari garnesikdai sanskritiko prabhav ko barema bujhne karyakram suru gare.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek taalim ma gaun ka kisan harule sanghai ramro utpaadan kasari garnesikdai sanskritiko prabhav ko barema bujhne karyakram suru gare.<end_of_turn>
<start_of_turn>model
Kisan haru sangai ramro utpaadan sanskritiko prabhav le garne barema bujhna karyakram suru gare.<eos>",Kisan haru sangai ramro utpaadan sanskritiko prabhav le garne barema bujhna karyakram suru gare.
209,summary, ,Ek gaun ma ek sundar taal ko ramailo kura sunaiyo. Tyo taal ko katha le sabailai aakarshit ra anandit banayo.,Taal ko katha le sabailai aakarshit ra anandit banayo.,Summarize the following text:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek gaun ma ek sundar taal ko ramailo kura sunaiyo. Tyo taal ko katha le sabailai aakarshit ra anandit banayo.<end_of_turn>
<start_of_turn>model
Taal ko katha le sabailai aakarshit ra anandit banayo.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek gaun ma ek sundar taal ko ramailo kura sunaiyo. Tyo taal ko katha le sabailai aakarshit ra anandit banayo.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Summarize the following text:
Ek gaun ma ek sundar taal ko ramailo kura sunaiyo. Tyo taal ko katha le sabailai aakarshit ra anandit banayo.<end_of_turn>
<start_of_turn>model
Gaun ko ramailo taal ko katha sabailai aakarshit ra anandit banayo.<eos>",Gaun ko ramailo taal ko katha sabailai aakarshit ra anandit banayo.
210,open_qa, ,Timi kaha ko?,Ma online shopping platform ko assistant ho! Aba tapai ke khojda hunuhuncha?,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Timi kaha ko?<end_of_turn>
<start_of_turn>model
Ma online shopping platform ko assistant ho! Aba tapai ke khojda hunuhuncha?","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Timi kaha ko?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Timi kaha ko?<end_of_turn>
<start_of_turn>model
Ma Kathmandu ma chu.<eos>",Ma Kathmandu ma chu.
211,open_qa, ,Nepal ma samabesi sambidhan ko karyanvayan ma ke samasya chha?,"Nepal ma samabesi sambidhan ko karyanvayan ma rajnitik dal haruko biprit bichar, karmachari haruko abhab, ra janata ko bichma bharosa ko kami jasto samasya haru chha.",You are a helpful AI assistant. Answer the user question:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma samabesi sambidhan ko karyanvayan ma ke samasya chha?<end_of_turn>
<start_of_turn>model
Nepal ma samabesi sambidhan ko karyanvayan ma rajnitik dal haruko biprit bichar, karmachari haruko abhab, ra janata ko bichma bharosa ko kami jasto samasya haru chha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma samabesi sambidhan ko karyanvayan ma ke samasya chha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma samabesi sambidhan ko karyanvayan ma ke samasya chha?<end_of_turn>
<start_of_turn>model
Samabesi sambidhan ma praja ko prabhav kam, rajniti ko vyavastha anudhar, ra karyakram ko adharitva ko samasya chha.<eos>","Samabesi sambidhan ma praja ko prabhav kam, rajniti ko vyavastha anudhar, ra karyakram ko adharitva ko samasya chha."
212,RAG,"store ko name: SmartElectro, location: Kathmandu, contact: 9801234567.",store ko contact number ke ho?,Hamro store ko contact number 9801234567 ho.,Answer the question using the context if it is helpful to answer the question.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
store ko contact number ke ho?
Context: store ko name: SmartElectro, location: Kathmandu, contact: 9801234567.<end_of_turn>
<start_of_turn>model
Hamro store ko contact number 9801234567 ho.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
store ko contact number ke ho?
Context: store ko name: SmartElectro, location: Kathmandu, contact: 9801234567.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
store ko contact number ke ho?
Context: store ko name: SmartElectro, location: Kathmandu, contact: 9801234567.<end_of_turn>
<start_of_turn>model
SmartElectro ko contact number 9801234567 ho.<eos>",SmartElectro ko contact number 9801234567 ho.
213,RAG,"Store ko name: EasyDelivery. Location: New Road, Kathmandu. Products: clothing, accessories. Delivery: Monday to Saturday delivery available.",store ma delivery service kun kun din available huncha?,Hamro delivery Monday dekhi Saturday samma huncha.,Answer the question using the context if it is helpful to answer the question.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
store ma delivery service kun kun din available huncha?
Context: Store ko name: EasyDelivery. Location: New Road, Kathmandu. Products: clothing, accessories. Delivery: Monday to Saturday delivery available.<end_of_turn>
<start_of_turn>model
Hamro delivery Monday dekhi Saturday samma huncha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
store ma delivery service kun kun din available huncha?
Context: Store ko name: EasyDelivery. Location: New Road, Kathmandu. Products: clothing, accessories. Delivery: Monday to Saturday delivery available.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
store ma delivery service kun kun din available huncha?
Context: Store ko name: EasyDelivery. Location: New Road, Kathmandu. Products: clothing, accessories. Delivery: Monday to Saturday delivery available.<end_of_turn>
<start_of_turn>model
Hamro store le Sunday ma delivery service available xaina. Monday dekhi Saturday samma delivery ko lagi timing 12:00 baje dekhi 6:00 baje samma huncha.<eos>",Hamro store le Sunday ma delivery service available xaina. Monday dekhi Saturday samma delivery ko lagi timing 12:00 baje dekhi 6:00 baje samma huncha.
214,alpaca, ,Nepali culture ma auta religious site ko naam de ani explain gara.,"Pashupatinath ek religious site ho, jun Hindu religion ko sabai bhanda important temple ho.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali culture ma auta religious site ko naam de ani explain gara.<end_of_turn>
<start_of_turn>model
Pashupatinath ek religious site ho, jun Hindu religion ko sabai bhanda important temple ho.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali culture ma auta religious site ko naam de ani explain gara.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali culture ma auta religious site ko naam de ani explain gara.<end_of_turn>
<start_of_turn>model
Swayambhunath Stupa Kathmandu ma chha. Yo Buddhists le pilgrimage site ko rup ma manchhan.<eos>",Swayambhunath Stupa Kathmandu ma chha. Yo Buddhists le pilgrimage site ko rup ma manchhan.
215,RAG,"eMartNepal, Biratnagar-7, Main Road ma electronics showroom chha. Biratnagar vitra delivery charge lagdaina. Aba saman ko order Rs. 4000 mathi gare Dharan, Itahari, ra Birtamod samma delivery free garna milchha. Tara, Pokhara ra Chitwan ma delivery available chhaina.",Tapai Pokhara samma delivery garna saknu huncha?,Pokhara samma delivery garna sakidaina.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapai Pokhara samma delivery garna saknu huncha?
Context: eMartNepal, Biratnagar-7, Main Road ma electronics showroom chha. Biratnagar vitra delivery charge lagdaina. Aba saman ko order Rs. 4000 mathi gare Dharan, Itahari, ra Birtamod samma delivery free garna milchha. Tara, Pokhara ra Chitwan ma delivery available chhaina.<end_of_turn>
<start_of_turn>model
Pokhara samma delivery garna sakidaina.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapai Pokhara samma delivery garna saknu huncha?
Context: eMartNepal, Biratnagar-7, Main Road ma electronics showroom chha. Biratnagar vitra delivery charge lagdaina. Aba saman ko order Rs. 4000 mathi gare Dharan, Itahari, ra Birtamod samma delivery free garna milchha. Tara, Pokhara ra Chitwan ma delivery available chhaina.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapai Pokhara samma delivery garna saknu huncha?
Context: eMartNepal, Biratnagar-7, Main Road ma electronics showroom chha. Biratnagar vitra delivery charge lagdaina. Aba saman ko order Rs. 4000 mathi gare Dharan, Itahari, ra Birtamod samma delivery free garna milchha. Tara, Pokhara ra Chitwan ma delivery available chhaina.<end_of_turn>
<start_of_turn>model
Pokhara ra Chitwan samma delivery available chhaina.<eos>",Pokhara ra Chitwan samma delivery available chhaina.
216,translate, ,Music le manushya ko life ma memories lai cherish garna help garcha.,Music helps in cherishing memories in life.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Music le manushya ko life ma memories lai cherish garna help garcha.<end_of_turn>
<start_of_turn>model
Music helps in cherishing memories in life.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Music le manushya ko life ma memories lai cherish garna help garcha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Music le manushya ko life ma memories lai cherish garna help garcha.<end_of_turn>
<start_of_turn>model
Music helps us cherish memories in our lives.<eos>",Music helps us cherish memories in our lives.
217,RAG,"JBL Charge 5 ek portable Bluetooth speaker ho. yeskoprice 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha.",JBL Charge 5 speaker ko barema jankari dinu?,"JBL Charge 5 ko price 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
JBL Charge 5 speaker ko barema jankari dinu?
Context: JBL Charge 5 ek portable Bluetooth speaker ho. yeskoprice 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha.<end_of_turn>
<start_of_turn>model
JBL Charge 5 ko price 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
JBL Charge 5 speaker ko barema jankari dinu?
Context: JBL Charge 5 ek portable Bluetooth speaker ho. yeskoprice 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
JBL Charge 5 speaker ko barema jankari dinu?
Context: JBL Charge 5 ek portable Bluetooth speaker ho. yeskoprice 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha.<end_of_turn>
<start_of_turn>model
JBL Charge 5 ek portable Bluetooth speaker ho. yeskoprice 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha.<eos>","JBL Charge 5 ek portable Bluetooth speaker ho. yeskoprice 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha."
218,translate, ,Can you please let me know if there are any updates regarding the event schedule or location?,Ke tapaai malai karyakram ko samayapan ra sthal samparka ma kunai update cha bhane bhanidinu saknuhunchha?,"Translate the given text from English language to Roman Nepali Language language.
","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from English language to Roman Nepali Language language.

Can you please let me know if there are any updates regarding the event schedule or location?<end_of_turn>
<start_of_turn>model
Ke tapaai malai karyakram ko samayapan ra sthal samparka ma kunai update cha bhane bhanidinu saknuhunchha?","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from English language to Roman Nepali Language language.

Can you please let me know if there are any updates regarding the event schedule or location?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from English language to Roman Nepali Language language.

Can you please let me know if there are any updates regarding the event schedule or location?<end_of_turn>
<start_of_turn>model
Kripaya mero lai event schedule ya location ma updates cha bhane jankari dinu hola.<eos>",Kripaya mero lai event schedule ya location ma updates cha bhane jankari dinu hola.
219,RAG,"Hamro store ko name [Blue Moon Store] ho, hamro store Kavre ma xa, Banepa ma. Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.",Store ko phone number ra email k xa?,Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho., ,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Store ko phone number ra email k xa?
Context: Hamro store ko name [Blue Moon Store] ho, hamro store Kavre ma xa, Banepa ma. Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.<end_of_turn>
<start_of_turn>model
Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Store ko phone number ra email k xa?
Context: Hamro store ko name [Blue Moon Store] ho, hamro store Kavre ma xa, Banepa ma. Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Store ko phone number ra email k xa?
Context: Hamro store ko name [Blue Moon Store] ho, hamro store Kavre ma xa, Banepa ma. Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.<end_of_turn>
<start_of_turn>model
Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.<eos>",Hamro contact number 011-9988776 ho ra email info@bluemoon.com ho.
220,alpaca,The teacher is explaining the lesson.,Translate the following English sentence into Roman Nepali.,Sir le lesson explain gariraheka chhan., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following English sentence into Roman Nepali.
Context: The teacher is explaining the lesson.<end_of_turn>
<start_of_turn>model
Sir le lesson explain gariraheka chhan.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following English sentence into Roman Nepali.
Context: The teacher is explaining the lesson.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Translate the following English sentence into Roman Nepali.
Context: The teacher is explaining the lesson.<end_of_turn>
<start_of_turn>model
Ustad ji le sikai batairaheka chhan.<eos>",Ustad ji le sikai batairaheka chhan.
221,alpaca, ,Ek historical prasna sodhnus.,Prithvi Narayan Shah le Nepal ko unification kahile suru gare?, ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ek historical prasna sodhnus.<end_of_turn>
<start_of_turn>model
Prithvi Narayan Shah le Nepal ko unification kahile suru gare?","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ek historical prasna sodhnus.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ek historical prasna sodhnus.<end_of_turn>
<start_of_turn>model
Nepal ma 18th century ko ek important historical event kun thiyo?<eos>",Nepal ma 18th century ko ek important historical event kun thiyo?
222,RAG,Hamro delivery service Dharan vitra free hunxa. Outside Dharan Rs. 120 charge hunxa ra delivery 2-3 din vitra garincha.,delivery charge kati ho?,"Dharan vitra free delivery ho, bahira Rs. 120 charge hunxa.", ,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
delivery charge kati ho?
Context: Hamro delivery service Dharan vitra free hunxa. Outside Dharan Rs. 120 charge hunxa ra delivery 2-3 din vitra garincha.<end_of_turn>
<start_of_turn>model
Dharan vitra free delivery ho, bahira Rs. 120 charge hunxa.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
delivery charge kati ho?
Context: Hamro delivery service Dharan vitra free hunxa. Outside Dharan Rs. 120 charge hunxa ra delivery 2-3 din vitra garincha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
delivery charge kati ho?
Context: Hamro delivery service Dharan vitra free hunxa. Outside Dharan Rs. 120 charge hunxa ra delivery 2-3 din vitra garincha.<end_of_turn>
<start_of_turn>model
Dharan vitra free hunxa, bahira Rs. 120 charge hunxa.<eos>","Dharan vitra free hunxa, bahira Rs. 120 charge hunxa."
223,RAG,"Hamro online store le Dashain ko samaya ma 25% discount cha. Tapai le electronics, mobile phones, ra home appliances ko selection dekhna saknu hunchha. Kathmandu ra surrounding areas ma free delivery cha.",Dashain ma kati discount cha?,Dashain ma 25% discount cha electronics ra mobile phones ma.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma kati discount cha?
Context: Hamro online store le Dashain ko samaya ma 25% discount cha. Tapai le electronics, mobile phones, ra home appliances ko selection dekhna saknu hunchha. Kathmandu ra surrounding areas ma free delivery cha.<end_of_turn>
<start_of_turn>model
Dashain ma 25% discount cha electronics ra mobile phones ma.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma kati discount cha?
Context: Hamro online store le Dashain ko samaya ma 25% discount cha. Tapai le electronics, mobile phones, ra home appliances ko selection dekhna saknu hunchha. Kathmandu ra surrounding areas ma free delivery cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Dashain ma kati discount cha?
Context: Hamro online store le Dashain ko samaya ma 25% discount cha. Tapai le electronics, mobile phones, ra home appliances ko selection dekhna saknu hunchha. Kathmandu ra surrounding areas ma free delivery cha.<end_of_turn>
<start_of_turn>model
Dashain ma 25% discount cha electronics ra home appliances ma.<eos>",Dashain ma 25% discount cha electronics ra home appliances ma.
224,RAG,"Product List: HP Ink Cartridge, Price: Rs. 1200. Epson Printer Paper (500 sheets), Price: Rs. 500. Canon Printer, Price: Rs. 15000.",Canon Printer available cha?,Hami sanga Canon Printer available cha.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Canon Printer available cha?
Context: Product List: HP Ink Cartridge, Price: Rs. 1200. Epson Printer Paper (500 sheets), Price: Rs. 500. Canon Printer, Price: Rs. 15000.<end_of_turn>
<start_of_turn>model
Hami sanga Canon Printer available cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Canon Printer available cha?
Context: Product List: HP Ink Cartridge, Price: Rs. 1200. Epson Printer Paper (500 sheets), Price: Rs. 500. Canon Printer, Price: Rs. 15000.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Canon Printer available cha?
Context: Product List: HP Ink Cartridge, Price: Rs. 1200. Epson Printer Paper (500 sheets), Price: Rs. 500. Canon Printer, Price: Rs. 15000.<end_of_turn>
<start_of_turn>model
Canon Printer available cha. Price Rs. 15000 cha.<eos>",Canon Printer available cha. Price Rs. 15000 cha.
225,RAG,"Product: Godrej Advantis, Price: 15000, Features: Fingerprint Access, RFID Card, Auto-Locking",Smart locks ko price kati ho?,Godrej Advantis ko price 15000 ho.,Answer the question using the context if it is helpful to answer the question.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Smart locks ko price kati ho?
Context: Product: Godrej Advantis, Price: 15000, Features: Fingerprint Access, RFID Card, Auto-Locking<end_of_turn>
<start_of_turn>model
Godrej Advantis ko price 15000 ho.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Smart locks ko price kati ho?
Context: Product: Godrej Advantis, Price: 15000, Features: Fingerprint Access, RFID Card, Auto-Locking<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Smart locks ko price kati ho?
Context: Product: Godrej Advantis, Price: 15000, Features: Fingerprint Access, RFID Card, Auto-Locking<end_of_turn>
<start_of_turn>model
Smart locks ko price 15000 ho. Isma fingerprint access, RFID card, ra auto-locking features cha.<eos>","Smart locks ko price 15000 ho. Isma fingerprint access, RFID card, ra auto-locking features cha."
226,open_qa, ,Nepal ma hiking janda ke ke sath ma linu parcha?,"Nepal ma hiking janda water bottle, sunscreen, comfortable shoes ani snacks linu jaruri cha.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma hiking janda ke ke sath ma linu parcha?<end_of_turn>
<start_of_turn>model
Nepal ma hiking janda water bottle, sunscreen, comfortable shoes ani snacks linu jaruri cha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma hiking janda ke ke sath ma linu parcha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma hiking janda ke ke sath ma linu parcha?<end_of_turn>
<start_of_turn>model
Nepal ma hiking janda ke ke sath ma linu parcha: proper footwear, trekking poles, warm clothes, sunscreen, and a first aid kit.<eos>","Nepal ma hiking janda ke ke sath ma linu parcha: proper footwear, trekking poles, warm clothes, sunscreen, and a first aid kit."
