id,question,answer,intent
270,order kasari verify garna sakinchha?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
271,order ko lagi payment options kasari choose garne?,order ko lagi payment options choose garna checkout page maa available payment methods bata select garne.,order
272,order garna contact number chahincha ki?,"ho, order garna contact number chahincha.",order
273,product order kasari suru garne?,"product order suru garna, product page maa gayera add to cart garne ani checkout maa gayera payment garera order complete garne.",order
274,order kasari suru hunchha?,order suru hunchha product select garera add to cart garera checkout maa gayera payment garera order complete garepachi.,order
275,order ko lagi checkout kasari garne?,"order ko lagi checkout garna, checkout page maa gayera address ra payment details bharera proceed button maa click garne.",order
276,order kasari confirm hunchha?,order confirm hunchha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
277,order garna kasto internet connection chahincha?,order garna reliable ra fast internet connection chahincha.,order
278,order garna k k details bharna parchha?,"order garna lai address, contact number, ra payment details bharna parchha.",order
279,order ko confirmation kasari garne hola?,Order ko confirmation garna ko laagi checkout page ma gayera garne ho.,order
280,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
281,order kasari verify garne?,"order verify garna, checkout page maa address ra payment details verify garera place order button maa click garne.",order
282,order kasari manage garne?,"order manage garna, order history maa gayera order details edit garne, cancel garne ya track garne.",order
283,order ko lagi checkout page kasari use garne?,checkout page maa address ra payment details bharera proceed button maa click garera order complete garna sakinchha.,order
284,order kasari process hunchha?,"order process hunchha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
285,order confirm huncha ki?,"order confirm huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
286,order kasari update huncha?,"order update huncha, order history maa gayera modify order button maa click garepachi.",order
287,order kasari cancel garne?,"order cancel garna, order history maa gayera cancel order button maa click garne.",order
288,order confirm kasari huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
289,order kasari repeat garne?,"order repeat garna, order history maa gayera repeat order button maa click garne.",order
290,order kasari view garne?,"order view garna, order history maa gayera view order details button maa click garne.",order
291,order confirmation email kasari aauxa?,"order confirmation email, checkout maa order place garepachi register gareko email maa aauxa.",order
292,order confirmation text kasari aauxa?,"order confirmation text, checkout maa order place garepachi register gareko mobile number maa aauxa.",order
293,order garna payment options k k cha?,"payment options maa credit card, debit card, net banking, ra cash on delivery cha.",order
294,order ko lagi coupon kasari apply garne?,"order ko lagi coupon apply garna, checkout page maa coupon code section maa coupon code type garera apply button maa click garne.",order
295,order kasari verify garne?,"order verify garna, checkout page maa address ra payment details verify garera place order button maa click garne.",order
296,order kasari manage garne?,"order manage garna, order history maa gayera order details edit garne, cancel garne ya track garne.",order
297,order confirm huncha ki?,"order confirm huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
298,order kasari process garne?,"order process garna, product add to cart garera checkout maa gayera address ra payment details bharera order complete garne.",order
299,order confirm huncha ki hunna?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
300,order kasari track garne?,"order track garna, order history maa gayera track order button maa click garne.",order
301,order kasari garne?,order garna product add to cart maa rakhne ani checkout page maa gayera payment garne.,order
302,order ko confirmation kasari aauxa?,order ko confirmation checkout garepachi email ya SMS maa aauxa.,order
303,order garna address kasari bharnu parchha?,order garna checkout page maa gayera address bharnu parchha.,order
304,order ko lagi payment option kasari choose garne?,order ko lagi payment option choose garna checkout page maa available options bata select garne.,order
305,order kasari complete garne?,order complete garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
306,product order kasari suru garne?,product order suru garna product page maa gayera add to cart garne ani checkout maa gayera payment garne.,order
307,order kasari verify garne?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
308,order kasari confirm garne?,order confirm garna checkout page maa address ra payment details bharera place order button maa click garne.,order
309,order garna contact number chahincha ki?,"ho, order garna contact number chahincha.",order
310,order kasari place garne?,order place garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
311,order ko lagi k k details chahincha?,"order ko lagi address, contact number, ra payment details chahincha.",order
312,order ko lagi address kasari add garne?,order ko lagi address add garna checkout page maa new address option maa click garera details bharne.,order
313,order garna address kasari add garne?,order garna address add garna checkout page maa new address option maa click garera details bharne.,order
314,order ko confirmation kasari huncha?,order ko confirmation checkout garepachi email ya SMS maa aauxa.,order
315,order garna coupon code kasari use garne?,order garna coupon code use garna checkout page maa coupon code section maa code type garera apply button maa click garne.,order
316,order kasari sure hunchha?,order sure hunchha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
317,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
318,order garna internet connection kasto hunu parchha?,order garna reliable ra fast internet connection hunu parchha.,order
319,order kasari manage garne?,order manage garna order history maa gayera order details edit garne ya cancel garne.,order
320,order garna kasari proceed garne?,order garna product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharepachi proceed garne.,order
321,order garna address ra payment details kasari add garne?,order garna checkout page maa address ra payment details bharne.,order
322,order confirm kasari garne?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
323,order ko confirmation email kasari aauxa?,order ko confirmation email checkout garepachi register gareko email maa aauxa.,order
324,order ko confirmation text kasari aauxa?,order ko confirmation text checkout garepachi register gareko mobile number maa aauxa.,order
325,order ko lagi kasto internet connection chahincha?,order ko lagi reliable ra fast internet connection chahincha.,order
326,order ko lagi coupon kasari apply garne?,order ko lagi coupon apply garna checkout page maa coupon code section maa code type garera apply button maa click garne.,order
327,order kasari process hunchha?,order process hunchha product add to cart garera checkout page maa address ra payment details bharepachi.,order
328,order kasari repeat garne?,order repeat garna order history maa gayera repeat order button maa click garne.,order
329,order ko lagi k k details chahincha?,"order ko lagi address, contact number, ra payment details chahincha.",order
330,order ko lagi checkout kasari garne?,"order ko lagi checkout garna, checkout page maa gayera address ra payment details bharepachi proceed button maa click garne.",order
331,order ko lagi k k information chahincha?,"order ko lagi address, contact number, ra payment information chahincha.",order
332,order kasari update huncha?,order update huncha order history maa gayera modify order button maa click garepachi.,order
333,order ko lagi address kasari add garne?,order ko lagi address add garna checkout page maa new address option maa click garera details bharne.,order
334,order kasari cancel garne?,order cancel garna order history maa gayera cancel order button maa click garne.,order
335,order kasari garna sakinchha?,order garna sakinchha product add to cart garera checkout page maa gayera address ra payment details bharepachi.,order
336,order ko lagi checkout page kasari use garne?,checkout page maa address ra payment details bharepachi proceed button maa click garera order complete garna sakinchha.,order
337,order kasari thik cha bhanera confirm garne?,order thik cha bhanera confirm garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
338,order garna lai k garnu parchha?,order garna lai product add to cart garera checkout page maa address ra payment details bharera place order button maa click garnu parchha.,order
339,order kasari track garne?,order track garna order history maa gayera track order button maa click garne.,order
340,order garna ke details bharnu parchha?,order garna checkout page maa address ra payment details bharnu parchha.,order
341,order garna process kasari huncha?,order garna process huncha product add to cart garera checkout page maa gayera address ra payment details bharepachi.,order
342,order garna lai ke garnu parchha?,order garna lai product add to cart garera checkout page maa address ra payment details bharepachi place order button maa click garnu parchha.,order
343,order confirm kasari hunchha?,order confirm hunchha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
344,order kasari manage garne?,order manage garna order history maa gayera order details edit garne ya cancel garne.,order
345,order ko lagi payment options kasari choose garne?,order ko lagi payment options choose garna checkout page maa available options bata select garne.,order
346,order ko confirmation kasari aauxa?,order ko confirmation checkout garepachi email ya SMS maa aauxa.,order
347,order garna contact number chahincha ki?,"ho, order garna contact number chahincha.",order
348,order garna k k details chahincha?,"order garna address, contact number, ra payment details chahincha.",order
349,order ko lagi coupon code kasari use garne?,order ko lagi coupon code use garna checkout page maa coupon code section maa code type garera apply button maa click garne.,order
350,order ko confirmation email kasari aauxa?,order ko confirmation email checkout garepachi register gareko email maa aauxa.,order
351,order ko lagi address kasari add garne?,order ko lagi address add garna checkout page maa new address option maa click garera details bharne.,order
352,order kasari verify garne?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
353,order garna lai k k chahincha?,"order garna lai address, contact number, ra payment details chahincha.",order
354,order confirm huncha ki?,order confirm huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
355,order ko confirmation text kasari aauxa?,order ko confirmation text checkout garepachi register gareko mobile number maa aauxa.,order
356,order kasari repeat garne?,order repeat garna order history maa gayera repeat order button maa click garne.,order
357,order kasari process garne?,order process garna product add to cart garera checkout maa gayera address ra payment details bharepachi.,order
358,order garna reliable internet connection chahincha ki?,"ho, order garna reliable internet connection chahincha.",order
359,order kasari confirm garne?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
360,order kasari update garne?,order update garna order history maa gayera modify order button maa click garne.,order
361,order ko lagi payment method kasari choose garne?,order ko lagi payment method choose garna checkout page maa available options bata select garne.,order
362,order garna k k chahincha?,"order garna address, contact number, ra payment details chahincha.",order
363,order kasari cancel garne?,order cancel garna order history maa gayera cancel order button maa click garne.,order
364,order ko lagi address kasari bharne?,order ko lagi address bharna checkout page maa gayera new address option maa click garera details bharne.,order
365,order ko confirmation kasari huncha?,order ko confirmation checkout garepachi email ya SMS maa huncha.,order
366,order kasari garna sakinchha?,order garna sakinchha product add to cart garera checkout page maa address ra payment details bharera.,order
367,order garna lai k garnu parchha?,order garna lai product add to cart garera checkout page maa address ra payment details bharepachi place order button maa click garnu parchha.,order
368,order garna k k chahincha?,"order garna address, contact number, ra payment details chahincha.",order
369,order ko confirmation email kasari aauxa?,order ko confirmation email checkout garepachi register gareko email maa aauxa.,order
370,order garna payment method kasari choose garne?,order garna payment method choose garna checkout page maa available options bata select garne.,order
371,order ko lagi k k information chahincha?,"order ko lagi address, contact number, ra payment information chahincha.",order
372,order kasari sure hunchha?,order sure hunchha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
373,order ko confirmation text kasari aauxa?,order ko confirmation text checkout garepachi register gareko mobile number maa aauxa.,order
374,order kasari proceed garne?,order proceed garna product add to cart garera checkout page maa address ra payment details bharepachi.,order
375,order garna kasari proceed garne?,order garna proceed garna product add to cart maa rakhne ani checkout page maa address ra payment details bharepachi.,order
376,order kasari process garne?,order process garna product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharepachi.,order
377,order confirm kasari hunchha?,order confirm hunchha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
378,order garna ki garnu parchha?,order garna product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharepachi place order button maa click garnu parchha.,order
379,order ko lagi payment options kasari choose garne?,order ko lagi payment options choose garna checkout page maa available options bata select garne.,order
380,order kasari confirm garne?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
381,order ko lagi payment method kasari choose garne?,order ko lagi payment method choose garna checkout page maa available options bata select garne.,order
382,order garna kasari thik cha bhanera confirm garne?,order thik cha bhanera confirm garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
383,order kasari verify garne?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
384,order garna kasari thik cha bhanera confirm garne?,order thik cha bhanera confirm garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
385,order ko confirmation kasari huncha?,order ko confirmation checkout garepachi email ya SMS maa huncha.,order
386,order kasari garna sakinchha?,order garna sakinchha product add to cart garera checkout page maa address ra payment details bharera.,order
387,order garna lai k k chahincha?,"order garna lai address, contact number, ra payment details chahincha.",order
388,order ko lagi address kasari bharne?,order ko lagi address bharna checkout page maa gayera new address option maa click garera details bharne.,order
389,order kasari sure hunchha?,order sure hunchha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
390,order ko confirmation email kasari aauxa?,order ko confirmation email checkout garepachi register gareko email maa aauxa.,order
391,order ko confirmation text kasari aauxa?,order ko confirmation text checkout garepachi register gareko mobile number maa aauxa.,order
392,order ko lagi checkout page kasari use garne?,checkout page maa address ra payment details bharepachi proceed button maa click garera order complete garna sakinchha.,order
393,order kasari confirm garne?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
394,order garna ki garnu parchha?,order garna product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharepachi place order button maa click garnu parchha.,order
395,order garna contact number chahincha ki?,"ho, order garna contact number chahincha.",order
396,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
397,order kasari repeat garne?,order repeat garna order history maa gayera repeat order button maa click garne.,order
398,order garna lai k garnu parchha?,order garna lai product add to cart garera checkout page maa address ra payment details bharepachi place order button maa click garnu parchha.,order
399,order ko confirmation kasari huncha?,order ko confirmation checkout garepachi email ya SMS maa huncha.,order
400,order ko lagi kasto internet connection chahincha?,order ko lagi reliable ra fast internet connection chahincha.,order
401,order kasari garne ho?,order garna product add to cart maa rakhne ani checkout page maa gayera payment garne.,order
402,product order garne process kasari cha?,product order garne process suru garna product page maa gayera add to cart garne ani checkout maa gayera payment garne.,order
403,order kasari sure huncha?,order sure huncha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
404,order confirmation kasari milcha?,order confirmation checkout garepachi email ya SMS maa milcha.,order
405,order kasari thik huncha?,order thik huncha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
406,order garna process ke ho?,order garna process ho product add to cart maa rakhne ani checkout page maa gayera payment garne.,order
407,order kasari start garne?,order start garna product page maa gayera add to cart garne ani checkout maa gayera payment garne.,order
408,order kasari place garne ho?,order place garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
409,order garne process kasari suru garne?,order garne process suru garna product page maa gayera add to cart garne ani checkout maa gayera payment garne.,order
410,order ko lagi address kasari enter garne?,order ko lagi address enter garna checkout page maa gayera address details bharne.,order
411,order ko lagi payment method kasari select garne?,order ko lagi payment method select garna checkout page maa available options bata choose garne.,order
412,order garne tarika ke ho?,order garne tarika ho product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharera order place garne.,order
413,order kasari process garne ho?,order process garna product add to cart maa rakhne ani checkout page maa gayera payment details bharera order complete garne.,order
414,order kasari milcha?,order milcha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
415,order garne step haru ke ke hun?,"order garne step haru ho product add to cart garne, checkout page maa address ra payment details bharne, ani place order button maa click garne.",order
416,order kasari complete garne ho?,order complete garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
417,order garne lagi ke garnu parchha?,order garne lagi product add to cart maa rakhne ani checkout page maa address ra payment details bharepachi place order button maa click garnu parchha.,order
418,order confirm kasari garne ho?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
419,order kasari thik cha bhanera sure garne?,order thik cha bhanera sure garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
420,order process kasari huncha?,order process huncha product add to cart garera checkout page maa address ra payment details bharepachi.,order
421,order garne lagi address kasari bharne?,order garne lagi address bharna checkout page maa gayera address details bharne.,order
422,order kasari complete garne ho?,order complete garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
423,order ko lagi payment option kasari choose garne?,order ko lagi payment option choose garna checkout page maa available options bata select garne.,order
424,order kasari garne?,order garna product add to cart maa rakhne ani checkout page maa address ra payment details bharera order place garne.,order
425,order confirm kasari garne?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
426,order kasari thik huncha?,order thik huncha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
427,order ko lagi ke details chahincha?,"order ko lagi address, contact number, ra payment details chahincha.",order
428,order garna kasari suru garne?,order suru garna product page maa gayera add to cart garne ani checkout maa gayera payment garne.,order
429,order kasari verify garne?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
430,order garna process ke ho?,order garna process ho product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
431,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
432,order ko lagi address kasari add garne?,order ko lagi address add garna checkout page maa new address option maa click garera details bharne.,order
433,order garna internet connection kasto hunu parchha?,order garna reliable ra fast internet connection hunu parchha.,order
434,order ko lagi payment option kasari select garne?,order ko lagi payment option select garna checkout page maa available options bata choose garne.,order
435,order kasari complete huncha?,order complete huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
436,order kasari manage garne?,order manage garna order history maa gayera order details edit garne ya cancel garne.,order
437,order ko lagi k garnu parchha?,order ko lagi product add to cart garera checkout page maa address ra payment details bharera place order button maa click garnu parchha.,order
438,order kasari process garne?,order process garna product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharepachi.,order
439,order garne process ke ho?,order garne process ho product add to cart garera checkout page maa address ra payment details bharera place order button maa click garne.,order
440,order confirm huncha ki?,order confirm huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
441,order kasari thik cha bhanera confirm garne?,order thik cha bhanera confirm garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
442,order ko confirmation kasari milcha?,order ko confirmation checkout garepachi email ya SMS maa milcha.,order
443,order garne lagi ke garnu parchha?,order garne lagi product add to cart maa rakhne ani checkout page maa address ra payment details bharera place order button maa click garnu parchha.,order
444,order kasari thik cha bhanera sure garne?,order thik cha bhanera sure garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
445,order kasari verify garne?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
446,order kasari proceed garne?,order proceed garna product add to cart garera checkout page maa address ra payment details bharepachi.,order
447,order kasari confirm garne ho?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
448,order ko lagi ke details chahincha?,"order ko lagi address, contact number, ra payment details chahincha.",order
449,order kasari suru garne?,order suru garna product page maa gayera add to cart garne ani checkout maa gayera payment garne.,order
450,order ko lagi payment method kasari choose garne?,order ko lagi payment method choose garna checkout page maa available options bata select garne.,order
451,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
452,order ko confirmation kasari huncha?,order ko confirmation checkout garepachi email ya SMS maa huncha.,order
453,order kasari garne?,order garna product add to cart maa rakhne ani checkout page maa address ra payment details bharera order place garne.,order
454,order kasari proceed garne ho?,order proceed garna product add to cart maa rakhne ani checkout page maa address ra payment details bharera place order button maa click garne.,order
455,order ko lagi address kasari bharne?,order ko lagi address bharna checkout page maa gayera address details bharne.,order
456,order kasari sure huncha?,order sure huncha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
457,order confirm kasari garne?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
458,order garna process ke ho?,order garna process ho product add to cart garera checkout page maa address ra payment details bharera place order button maa click garne.,order
459,order ko lagi address kasari add garne?,order ko lagi address add garna checkout page maa new address option maa click garera details bharne.,order
460,order kasari suru garne?,order suru garna product page maa gayera add to cart garne ani checkout maa gayera payment garne.,order
461,order garne lagi ke garnu parchha?,order garne lagi product add to cart maa rakhne ani checkout page maa address ra payment details bharera place order button maa click garnu parchha.,order
462,order ko lagi address kasari bharne?,order ko lagi address bharna checkout page maa gayera address details bharne.,order
463,order kasari thik cha bhanera confirm garne?,order thik cha bhanera confirm garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
464,order garne process kasari cha?,order garne process ho product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
465,order kasari complete garne ho?,order complete garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
466,order ko lagi ke details chahincha?,"order ko lagi address, contact number, ra payment details chahincha.",order
467,order kasari confirm garne ho?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
468,order garne lagi ke garnu parchha?,order garne lagi product add to cart maa rakhne ani checkout page maa address ra payment details bharepachi place order button maa click garnu parchha.,order
469,order kasari verify garne?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
470,order garne process ke ho?,order garne process ho product add to cart garera checkout page maa address ra payment details bharera place order button maa click garne.,order
471,order ko confirmation kasari huncha?,order ko confirmation checkout garepachi email ya SMS maa huncha.,order
472,order kasari complete garne?,order complete garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
473,order ko lagi ke garnu parchha?,order ko lagi product add to cart garera checkout page maa address ra payment details bharera place order button maa click garnu parchha.,order
474,order kasari confirm garne?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
475,order ko lagi address kasari bharne?,order ko lagi address bharna checkout page maa gayera address details bharne.,order
476,order kasari sure huncha?,order sure huncha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
477,order confirm kasari garne?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
478,order garne lagi ke garnu parchha?,order garne lagi product add to cart maa rakhne ani checkout page maa address ra payment details bharera place order button maa click garnu parchha.,order
479,order ko lagi ke details chahincha?,"order ko lagi address, contact number, ra payment details chahincha.",order
480,order garne process kasari cha?,order garne process ho product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
481,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
482,order ko lagi address kasari bharne?,order ko lagi address bharna checkout page maa gayera address details bharne.,order
483,order kasari sure huncha?,order sure huncha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
484,order kasari complete garne ho?,order complete garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
485,order ko lagi payment method kasari choose garne?,order ko lagi payment method choose garna checkout page maa available options bata select garne.,order
486,order kasari confirm garne ho?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
487,order kasari thik cha bhanera sure garne?,order thik cha bhanera sure garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
488,order ko confirmation kasari huncha?,order ko confirmation checkout garepachi email ya SMS maa huncha.,order
489,order kasari garne?,order garna product add to cart maa rakhne ani checkout page maa address ra payment details bharera order place garne.,order
490,order ko lagi ke details chahincha?,"order ko lagi address, contact number, ra payment details chahincha.",order
491,order garne lagi ke garnu parchha?,order garne lagi product add to cart maa rakhne ani checkout page maa address ra payment details bharera place order button maa click garnu parchha.,order
492,order ko lagi address kasari bharne?,order ko lagi address bharna checkout page maa gayera address details bharne.,order
493,order kasari sure huncha?,order sure huncha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
494,order kasari confirm garne ho?,order confirm garna checkout page maa address ra payment details bharepachi place order button maa click garne.,order
495,order garne process kasari cha?,order garne process ho product add to cart maa rakhne ani checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
496,order ko lagi address kasari add garne?,order ko lagi address add garna checkout page maa new address option maa click garera details bharne.,order
497,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
498,order ko lagi payment method kasari choose garne?,order ko lagi payment method choose garna checkout page maa available options bata select garne.,order
499,order kasari complete huncha?,order complete huncha checkout page maa address ra payment details bharepachi place order button maa click garepachi.,order
500,order garne process ke ho?,order garne process ho product add to cart garera checkout page maa address ra payment details bharera place order button maa click garne.,order
1,Namaste,Namaste! Ma tapai lai kasari madat garna sakchu?,greetings
2,Hello,Hello! Ma tapai ko lagi ke garna sakchu?,greetings
3,K cha?,"Thikai chha, tapai lai kasari madat garna sakchu?",greetings
4,Kasto chha?,"Ma thikai chhu, tapai lai ke chahincha?",greetings
5,Hi,Hi! Tapai lai ma ke madat garna sakchu?,greetings
6,Good morning,Good morning! Tapai ko lagi ma ke garna sakchu?,greetings
7,Good afternoon,Good afternoon! Ma tapai lai kasari madat garna sakchu?,greetings
8,Good evening,Good evening! Tapai ko lagi ma ke garna sakchu?,greetings
9,Sanchai?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
10,K chha?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
11,Ma tapai lai kasari madat garna sakchu?,Namaste! Tapai ko lagi ma ke garna sakchu?,greetings
12,Ke chha k k?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
13,Tapai lai ke cha?,"Sab thikai chha, tapai ko lagi ma ke garna sakchu?",greetings
14,Tapai lai kasari madat garna sakchu?,Tapai lai k chahincha?,greetings
15,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
16,"Ma sanchai chhu, tapai?","Ma pani sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
17,Sab thikai chha?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
18,Tapai lai ke chahincha?,Tapai ko lagi ma ke garna sakchu?,greetings
19,Hello ma sanchai chhu,"Hello! Ma pani sanchai chhu, tapai lai ke chahincha?",greetings
20,"Hi, kasari chha?","Ma sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
21,Namaskar,Namaskar! Ma tapai lai kasari madat garna sakchu?,greetings
22,"Hello, kasari chha?","Thikai chha, tapai lai kasari madat garna sakchu?",greetings
23,Kasto din bhayo?,"Din ramro bhayo, tapai lai kasari madat garna sakchu?",greetings
24,Tapai ko din kasto bhayo?,"Mero din ramro bhayo, tapai lai ke chahincha?",greetings
25,Good day,Good day! Tapai ko lagi ma ke garna sakchu?,greetings
26,"Namaste, kasto chha?","Namaste! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
27,"Hello, tapai lai kasari madat garna sakchu?",Hello! Tapai ko lagi ma ke garna sakchu?,greetings
28,Sanchai hunu hunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
29,K cha? Sabai thikai?,"Thikai chha, tapai lai kasari madat garna sakchu?",greetings
30,"Hello, ma sanchai chhu","Hello! Ma pani sanchai chhu, tapai lai ke chahincha?",greetings
31,Tapai kasto chha?,"Ma sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
32,Namaste! Ma sanchai chhu,"Namaste! Ma pani sanchai chhu, tapai lai ke chahincha?",greetings
33,"Good morning, kasari chha?","Good morning! Ma sanchai chhu, tapai lai ke chahincha?",greetings
34,"Good afternoon, kasari chha?","Good afternoon! Ma sanchai chhu, tapai lai ke chahincha?",greetings
35,"Good evening, kasari chha?","Good evening! Ma sanchai chhu, tapai lai ke chahincha?",greetings
36,"Hi, ma thikai chhu","Hi! Ma pani thikai chhu, tapai lai kasari madat garna sakchu?",greetings
37,"Namaste, tapai lai kasto chha?","Namaste! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
38,Tapai sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
39,Tapai kasto chha aaj?,"Ma thikai chhu, tapai lai ke chahincha?",greetings
40,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
41,"Hello, kasari hunuhunchha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
42,"Namaste, k cha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
43,"Hi, kasto chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
44,"Good morning, k cha?","Good morning! Sab thikai chha, tapai lai ke chahincha?",greetings
45,"Good afternoon, k cha?","Good afternoon! Sab thikai chha, tapai lai ke chahincha?",greetings
46,"Good evening, k cha?","Good evening! Sab thikai chha, tapai lai ke chahincha?",greetings
47,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
48,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
49,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
50,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
51,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
52,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
53,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
54,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
